siteid,sitename,datacreationdate,aqi,status,pm2.5,pm10,o3,co,no2,no,so2
61,Hengchun,2024-05-30 17:00,31,Good,3,17,35.6,0.1,0.8,0.6,0.6
60,Chaozhou,2024-05-30 17:00,29,Good,3,9,32,0.08,1.7,0.3,0.9
59,Pingtung,2024-05-30 17:00,30,Good,3,11,30.4,0.19,4.8,1.2,0.6
58,Xiaogang,2024-05-30 17:00,32,Good,9,16,25.1,0.54,10.4,3.4,3.5
57,Qianzhen,2024-05-30 17:00,22,Good,4,14,24.8,0.33,13.6,5.8,3.1
56,Qianjin,2024-05-30 17:00,23,Good,4,17,26.4,0.14,9.7,2.4,2.4
54,Zuoying,2024-05-30 17:00,34,Good,9,18,28.4,0.24,9.3,1.7,2
53,Nanzi,2024-05-30 17:00,26,Good,3,23,29.6,0.17,9.4,2.4,0.4
52,Linyuan,2024-05-30 17:00,31,Good,1,16,34.2,0.1,0.2,0.9,0.7
51,Daliao,2024-05-30 17:00,28,Good,6,11,30.6,0.11,3.2,0.8,0.3
50,Fengshan,2024-05-30 17:00,27,Good,8,27,29.2,0.3,5.8,1.9,2.2
49,Renwu,2024-05-30 17:00,30,Good,3,14,33.9,0.16,3.9,1.1,
48,Qiaotou,2024-05-30 17:00,27,Good,,14,26.8,0.22,7.2,1.2,1.7
47,Meinong,2024-05-30 17:00,33,Good,3,8,35,0.11,1.5,1.3,0.9
46,Tainan,2024-05-30 17:00,38,Good,9,15,32.7,0.17,5.5,1.1,0.7
45,Annan,2024-05-30 17:00,38,Good,10,17,31.1,0.19,6.3,3,0.6
44,Shanhua,2024-05-30 17:00,36,Good,10,20,37.6,0.13,5.2,1.8,0.6
43,Xinying,2024-05-30 17:00,42,Good,4,14,33.4,0.18,5.1,1.2,0
42,Chiayi,2024-05-30 17:00,47,Good,4,13,30.8,0.15,4,1.3,1.4
41,Taixi,2024-05-30 17:00,54,Moderate,6,15,32.2,0.13,3.1,1.4,1.5
40,Puzi,2024-05-30 17:00,39,Good,,15,32.8,0.22,6.9,3.1,1
39,Xingang,2024-05-30 17:00,47,Good,5,15,37,0.16,5.5,2.5,1.1
38,Lunbei,2024-05-30 17:00,44,Good,6,17,32.2,0.15,3.1,1.7,0.9
37,Douliu,2024-05-30 17:00,49,Good,4,6,29.3,0.18,3.7,1.6,1.5
36,Nantou,2024-05-30 17:00,61,Moderate,9,21,37,0.23,8.7,1.6,0.5
35,Erlin,2024-05-30 17:00,67,Moderate,16,21,47,0.16,3.5,1.7,1.3
34,Xianxi,2024-05-30 17:00,54,Moderate,8,35,47.4,0.16,3.7,1.9,1.3
33,Changhua,2024-05-30 17:00,80,Moderate,10,35,49.7,0.17,6.6,1.8,0.9
32,Xitun,2024-05-30 17:00,77,Moderate,11,42,51,0.17,6.7,1.1,1.8
31,Zhongming,2024-05-30 17:00,46,Good,14,32,43.8,0.29,11.4,1.5,1.9
30,Dali,2024-05-30 17:00,84,Moderate,16,27,50.6,0.31,11.6,1,1.7
29,Shalu,2024-05-30 17:00,71,Moderate,13,40,50.2,0.23,8.3,0.6,2.3
28,Fengyuan,2024-05-30 17:00,84,Moderate,17,32,51.7,0.35,9.5,1.2,1.9
27,Sanyi,2024-05-30 17:00,58,Moderate,14,33,52,0.24,4.1,1.3,1.6
26,Miaoli,2024-05-30 17:00,74,Moderate,13,21,57.2,0.21,4.1,0.9,1.7
25,Toufen,2024-05-30 17:00,58,Moderate,8,30,44.1,0.23,4.7,1.6,1.4
24,Hsinchu,2024-05-30 17:00,49,Good,11,19,48.2,0.28,8.2,1.2,1.2
23,Zhudong,2024-05-30 17:00,64,Moderate,16,30,43.6,0.25,10.1,0.6,0.4
22,Hukou,2024-05-30 17:00,51,Moderate,13,19,43.1,0.2,3.6,0.6,0.8
21,Longtan,2024-05-30 17:00,44,Good,13,27,39.5,0.34,16.2,0.8,1.5
20,Pingzhen,2024-05-30 17:00,39,Good,12,27,33.3,0.32,16,1,0.5
19,Guanyin,2024-05-30 17:00,42,Good,6,18,39.4,0.18,5.5,0.7,0.4
18,Dayuan,2024-05-30 17:00,38,Good,5,15,38.8,0.24,8.7,1.8,1.4
17,Taoyuan,2024-05-30 17:00,44,Good,12,25,32,0.32,17.4,1.7,3.5
16,Datong,2024-05-30 17:00,55,Moderate,11,19,14.6,1.49,37.8,42.3,1.1
15,Songshan,2024-05-30 17:00,37,Good,14,21,27.6,0.35,22.1,2.8,2.1
14,Guting,2024-05-30 17:00,37,Good,8,16,43.5,0.34,13.7,1.7,
13,Wanhua,2024-05-30 17:00,39,Good,14,26,45.7,0.47,23.1,1.5,1.1
12,Zhongshan,2024-05-30 17:00,33,Good,9,15,32.7,0.3,13.4,1.7,1.3
11,Shilin,2024-05-30 17:00,36,Good,5,13,33.2,0.21,13.3,1.9,0.5
10,Tamsui,2024-05-30 17:00,37,Good,11,22,35.1,0.18,11.4,1.6,1.6
9,Linkou,2024-05-30 17:00,39,Good,5,9,39.2,0.16,4.2,0.9,1.1
8,Cailiao,2024-05-30 17:00,38,Good,10,21,38.1,0.4,18.3,1.4,1.3
7,Xinzhuang,2024-05-30 17:00,42,Good,7,17,34,0.27,14.4,1.2,0.7
6,Banqiao,2024-05-30 17:00,44,Good,9,23,51.9,0.46,18.2,1.5,1.1
5,Tucheng,2024-05-30 17:00,51,Moderate,12,16,58.7,0.36,12.1,1,1
4,Xindian,2024-05-30 17:00,44,Good,14,19,39.3,0.37,12.1,2.2,0.9
3,Wanli,2024-05-30 17:00,44,Good,10,28,41.8,0.2,5.5,1.5,0.6
2,Xizhi,2024-05-30 17:00,37,Good,9,27,22.6,0.34,22.8,3.4,2.9
1,Keelung,2024-05-30 17:00,29,Good,5,15,21.4,0.29,14.6,3.6,2.2
313,Pingtung（fangshan）,2024-05-30 16:00,32,Good,0,5,35.3,0.09,2,0.3,0
312,Taichung（Rilana Elementary）,2024-05-30 16:00,49,Good,13,40,51.1,0.08,3.5,0.7,0.7
311,New Taipei(Shulin),2024-05-30 16:00,43,Good,15,24,32.5,0.32,16.4,1.3,2.9
204,Pingtung（Liuqiu）,2024-05-30 16:00,27,Good,7,14,29.7,0.07,1.2,1.2,0.7
203,Tainan（Madou）,2024-05-30 16:00,31,Good,5,13,32,0.13,5.3,2.2,0.2
202,Kaohsiung（Hunei）,2024-05-30 16:00,25,Good,9,15,27.7,0.13,3.2,2.3,0.4
201,Changhua（Yuanlin）,2024-05-30 16:00,59,Moderate,16,30,44.1,0.28,7.9,1.1,2.1
85,Dacheng,2024-05-30 16:00,61,Moderate,10,30,59.9,0.12,2.5,0.3,0.9
84,FugueiCape,2024-05-30 16:00,44,Good,8,35,48.5,0.13,1.3,0.3,0.5
83,Mailiao,2024-05-30 16:00,54,Moderate,9,23,47.4,0.15,4.2,0.2,1.3
80,Guanshan,2024-05-30 16:00,28,Good,2,9,24.7,0.14,3.2,0.6,0.3
78,Magong,2024-05-30 16:00,44,Good,1,4,34,0.14,5.4,2.7,1.4
77,Kinmen,2024-05-30 16:00,64,Moderate,26,36,53.6,0.29,12.6,1.2,2.2
75,Matsu,2024-05-30 16:00,44,Good,15,27,47.6,0.22,8.5,7,0.8
72,Puli,2024-05-30 16:00,50,Good,24,24,55.3,0.26,4.2,1.6,1.1
71,Fuxing,2024-05-30 16:00,23,Good,4,11,28.8,0.31,8.4,3.6,2.9
70,Yonghe,2024-05-30 16:00,35,Good,8,,44.4,0.47,16.4,2.3,
69,Zhushan,2024-05-30 16:00,63,Moderate,15,16,38.4,0.18,6.8,0.7,1
68,Zhongli,2024-05-30 16:00,53,Moderate,17,33,15.6,0.6,34.2,31.4,1.5
67,Sanchong,2024-05-30 16:00,56,Moderate,10,21,13.5,0.86,38.5,53.9,1.4
66,Dongshan,2024-05-30 16:00,36,Good,7,22,43,0.23,5.6,2.1,0.5
65,Yilan,2024-05-30 16:00,44,Good,6,24,45.7,0.21,3.2,0.6,1.1
64,Yangming,2024-05-30 16:00,28,Good,4,9,29.7,0.15,0.9,0.6,1.1
63,Hualien,2024-05-30 16:00,31,Good,5,4,38.2,0.18,1.1,0.4,0.1
62,Taitung,2024-05-30 16:00,34,Good,2,7,31,0.17,2.7,2.4,0.2
61,Hengchun,2024-05-30 16:00,32,Good,2,9,32.4,0.1,0.7,0.6,0.6
60,Chaozhou,2024-05-30 16:00,29,Good,0,12,32.2,0.07,1.1,0.1,0.9
59,Pingtung,2024-05-30 16:00,29,Good,2,12,33.2,0.16,4.3,1.3,0.7
58,Xiaogang,2024-05-30 16:00,32,Good,13,25,25,0.56,11.6,4,6
57,Qianzhen,2024-05-30 16:00,21,Good,5,16,28.3,0.31,10,5.4,2.5
56,Qianjin,2024-05-30 16:00,23,Good,4,20,30,0.14,7.6,2.1,1.8
54,Zuoying,2024-05-30 16:00,36,Good,9,17,31.1,0.21,8.7,2.2,1.7
53,Nanzi,2024-05-30 16:00,27,Good,5,21,31.6,0.21,10.6,2.9,1.4
52,Linyuan,2024-05-30 16:00,31,Good,4,7,35.4,0.1,0.4,0.8,0.8
51,Daliao,2024-05-30 16:00,28,Good,4,17,32.1,0.16,2.7,1,0.3
50,Fengshan,2024-05-30 16:00,27,Good,3,18,30.8,0.28,6.3,2.3,2
49,Renwu,2024-05-30 16:00,30,Good,4,15,34.8,0.18,6.4,2.3,0.1
48,Qiaotou,2024-05-30 16:00,27,Good,7,,33.2,0.15,5.8,1.5,0.6
47,Meinong,2024-05-30 16:00,32,Good,4,15,35.6,0.12,2.4,1.5,0.9
46,Tainan,2024-05-30 16:00,40,Good,8,17,33.3,0.13,4.2,1.1,0.8
45,Annan,2024-05-30 16:00,38,Good,10,18,29.7,0.17,7.2,4.1,1.1
44,Shanhua,2024-05-30 16:00,35,Good,12,20,31.5,0.1,3.7,2,0.4
43,Xinying,2024-05-30 16:00,42,Good,2,14,29.1,0.17,4.8,1,0.3
42,Chiayi,2024-05-30 16:00,49,Good,0,8,30.3,0.13,3.6,1.3,1.3
41,Taixi,2024-05-30 16:00,58,Moderate,11,58,50.6,0.14,3.7,1.4,1.6
40,Puzi,2024-05-30 16:00,40,Good,,15,26.1,0.22,6.3,3.2,0.9
39,Xingang,2024-05-30 16:00,49,Good,7,11,32,0.15,4.1,2.4,0.8
38,Lunbei,2024-05-30 16:00,48,Good,8,13,30.5,0.14,2.7,1.8,0.8
37,Douliu,2024-05-30 16:00,51,Moderate,4,20,29,0.17,4.4,1.5,1.4
36,Nantou,2024-05-30 16:00,64,Moderate,16,32,54.3,0.22,7.6,1.2,0.8
35,Erlin,2024-05-30 16:00,64,Moderate,16,34,52.2,0.15,1.8,1.6,1.1
34,Xianxi,2024-05-30 16:00,54,Moderate,14,39,54.6,0.23,1.5,1.7,1
33,Changhua,2024-05-30 16:00,80,Moderate,12,47,58.3,0.18,7.2,1.9,1.3
32,Xitun,2024-05-30 16:00,74,Moderate,21,43,56.5,0.32,10.4,1.3,3.8
31,Zhongming,2024-05-30 16:00,44,Good,14,42,50.4,0.37,13.7,1.7,3.8
30,Dali,2024-05-30 16:00,87,Moderate,21,42,60.7,0.28,10.5,0.5,3
29,Shalu,2024-05-30 16:00,67,Moderate,19,48,52.4,0.35,7.7,0.5,2.8
28,Fengyuan,2024-05-30 16:00,77,Moderate,20,47,60.9,0.23,6.3,0.9,1.4
27,Sanyi,2024-05-30 16:00,50,Good,16,36,52.9,0.21,5.9,1.5,1.7
26,Miaoli,2024-05-30 16:00,61,Moderate,17,19,57.7,0.17,3.7,1.2,1.4
25,Toufen,2024-05-30 16:00,50,Good,10,24,45.9,0.18,2,1.8,1.3
24,Hsinchu,2024-05-30 16:00,45,Good,15,17,40.1,0.24,6.3,1.3,0.6
23,Zhudong,2024-05-30 16:00,60,Moderate,17,24,51.1,0.23,8.1,0.6,0.5
22,Hukou,2024-05-30 16:00,54,Moderate,13,17,48.2,0.18,2.6,0.6,
21,Longtan,2024-05-30 16:00,48,Good,16,26,49.8,0.28,13.2,0.2,1.6
