siteid,sitename,datacreationdate,aqi,status,pm2.5,pm10,o3,co,no2,no,so2
59,Pingtung,2024-05-31 01:00,21,Good,4,8,24.8,0.1,2.5,0.4,0.4
58,Xiaogang,2024-05-31 01:00,40,Good,24,23,13.3,0.64,20.1,4.8,16.6
57,Qianzhen,2024-05-31 01:00,18,Good,3,14,14.9,0.29,11.4,1.3,1.7
56,Qianjin,2024-05-31 01:00,19,Good,2,13,17.8,0.16,9.5,0,1
54,Zuoying,2024-05-31 01:00,31,Good,8,3,17.7,0.18,7.7,0,1.6
53,Nanzi,2024-05-31 01:00,19,Good,4,7,17.4,0.22,11.2,0.6,1.1
52,Linyuan,2024-05-31 01:00,29,Good,0,14,26.9,0.1,0.8,0.7,0.6
51,Daliao,2024-05-31 01:00,24,Good,4,11,23.5,0.09,1.8,0.2,0.3
50,Fengshan,2024-05-31 01:00,21,Good,3,8,21.4,0.19,5.1,0.6,0.7
49,Renwu,2024-05-31 01:00,24,Good,5,6,22.9,0.2,7.1,0.8,3.3
48,Qiaotou,2024-05-31 01:00,19,Good,6,7,16.5,0.3,9.9,0.3,1.7
47,Meinong,2024-05-31 01:00,19,Good,4,14,19.2,0.12,2.3,1.2,0.5
46,Tainan,2024-05-31 01:00,28,Good,7,16,15.5,0.19,11.3,0.5,2.3
45,Annan,2024-05-31 01:00,26,Good,6,11,16.7,0.24,11.6,1.7,2.4
44,Shanhua,2024-05-31 01:00,27,Good,9,13,17.9,0.1,2.8,1.2,0.2
43,Xinying,2024-05-31 01:00,22,Good,2,13,20.6,0.12,3.1,0.4,0
42,Chiayi,2024-05-31 01:00,22,Good,4,18,13.8,0.14,5.7,1.2,1.3
41,Taixi,2024-05-31 01:00,21,Good,3,17,18.4,0.15,4.9,0.9,1.6
40,Puzi,2024-05-31 01:00,19,Good,,21,16.4,0.16,5.9,1.3,1.4
39,Xingang,2024-05-31 01:00,27,Good,7,18,19.5,0.12,3.5,1.5,0.2
38,Lunbei,2024-05-31 01:00,26,Good,4,16,13.8,0.17,2.7,1.5,0.8
37,Douliu,2024-05-31 01:00,25,Good,5,23,9.4,0.13,2.7,1.1,0.9
36,Nantou,2024-05-31 01:00,26,Good,5,32,5.3,0.15,5.5,0.8,0.2
35,Erlin,2024-05-31 01:00,47,Good,10,29,8.8,0.16,8.3,0.8,0.4
34,Xianxi,2024-05-31 01:00,35,Good,5,31,14.4,0.18,4.1,1.2,0.4
33,Changhua,2024-05-31 01:00,33,Good,6,20,15.9,0.19,8.7,1.6,0.9
32,Xitun,2024-05-31 01:00,34,Good,10,29,7.7,0.2,9.8,1.2,0.8
31,Zhongming,2024-05-31 01:00,27,Good,6,21,11.8,0.22,6.6,1,0.7
30,Dali,2024-05-31 01:00,39,Good,9,20,8.4,0.23,7,0.6,1.2
29,Shalu,2024-05-31 01:00,33,Good,8,16,16.6,0.23,8.5,0,0.9
28,Fengyuan,2024-05-31 01:00,24,Good,6,23,18.3,0.19,4.9,0.8,0
27,Sanyi,2024-05-31 01:00,29,Good,6,18,17.6,0.17,2.1,0.9,0.5
26,Miaoli,2024-05-31 01:00,44,Good,13,22,7.9,0.25,13,1.5,1.2
25,Toufen,2024-05-31 01:00,40,Good,12,25,11.7,0.26,8.6,1.4,1.3
24,Hsinchu,2024-05-31 01:00,33,Good,12,25,25.6,0.28,10.8,0.9,2
23,Zhudong,2024-05-31 01:00,53,Moderate,19,37,7.7,0.25,5.5,0.5,0.2
22,Hukou,2024-05-31 01:00,50,Good,13,23,21.5,0.24,7.8,0.6,0.5
21,Longtan,2024-05-31 01:00,57,Moderate,21,44,0.5,0.43,24.2,5.1,0.9
20,Pingzhen,2024-05-31 01:00,40,Good,12,46,14.4,0.31,24.2,0,0.8
19,Guanyin,2024-05-31 01:00,30,Good,7,18,31.9,0.14,4.9,0.2,0.8
18,Dayuan,2024-05-31 01:00,41,Good,11,25,22.6,0.33,11.2,1.2,1.4
17,Taoyuan,2024-05-31 01:00,43,Good,11,25,22.3,0.33,12,0.5,1.4
16,Datong,2024-05-31 01:00,37,Good,10,20,3.9,0.83,16.3,10.1,0.8
15,Songshan,2024-05-31 01:00,46,Good,12,18,4.5,0.49,21.2,4.9,0.5
14,Guting,2024-05-31 01:00,27,Good,8,15,8.3,0.24,6.7,1.2,1.9
13,Wanhua,2024-05-31 01:00,39,Good,9,14,8.1,0.33,10.9,1.3,0.3
12,Zhongshan,2024-05-31 01:00,33,Good,11,8,8.2,0.37,13.3,1.1,0.6
11,Shilin,2024-05-31 01:00,38,Good,12,25,4.4,0.43,23.4,1.4,0.6
10,Tamsui,2024-05-31 01:00,36,Good,10,22,11.8,0.35,11.5,1.2,0.9
9,Linkou,2024-05-31 01:00,30,Good,9,25,18.9,0.27,,,3.1
8,Cailiao,2024-05-31 01:00,33,Good,13,21,7.8,0.46,18.3,1.4,1
7,Xinzhuang,2024-05-31 01:00,50,Good,22,23,8.7,0.57,20.4,1.1,0.9
6,Banqiao,2024-05-31 01:00,42,Good,13,28,2.9,0.55,25,2.7,0.9
5,Tucheng,2024-05-31 01:00,59,Moderate,19,32,4,0.47,20.4,2.6,0.2
4,Xindian,2024-05-31 01:00,36,Good,12,28,8.6,0.23,5,1.3,0.8
3,Wanli,2024-05-31 01:00,28,Good,9,27,6.8,0.28,6.1,1.1,0
2,Xizhi,2024-05-31 01:00,44,Good,13,25,0.4,0.48,18.7,14.9,1.7
1,Keelung,2024-05-31 01:00,28,Good,7,29,0.7,0.48,17.5,10.6,1
313,Pingtung（fangshan）,2024-05-31 00:00,27,Good,3,22,31.2,0.08,1,0,0
312,Taichung（Rilana Elementary）,2024-05-31 00:00,31,Good,7,13,21.5,0.05,8.6,2.2,0.1
311,New Taipei(Shulin),2024-05-31 00:00,54,Moderate,16,26,4.6,0.39,13.1,2,0.9
204,Pingtung（Liuqiu）,2024-05-31 00:00,26,Good,6,11,25.8,0.06,0.7,1.1,0.5
203,Tainan（Madou）,2024-05-31 00:00,22,Good,3,14,15.4,0.15,13,0.8,0.5
202,Kaohsiung（Hunei）,2024-05-31 00:00,17,Good,6,13,14.4,0.26,8.5,1.3,1.1
201,Changhua（Yuanlin）,2024-05-31 00:00,44,Good,11,24,14.7,0.25,9.2,0.5,1.8
85,Dacheng,2024-05-31 00:00,25,Good,6,16,13.7,0.12,5.8,0,0.8
84,FugueiCape,2024-05-31 00:00,31,Good,8,30,27.1,0.17,5.5,0.1,0.5
83,Mailiao,2024-05-31 00:00,24,Good,7,22,15.6,0.18,7.4,0.7,1.4
80,Guanshan,2024-05-31 00:00,15,Good,2,31,6.5,0.12,1.9,0.4,0.4
78,Magong,2024-05-31 00:00,27,Good,1,5,29.2,0.1,3.8,1,1.1
77,Kinmen,2024-05-31 00:00,73,Moderate,25,29,9.8,0.34,19.3,1,1.8
75,Matsu,2024-05-31 00:00,39,Good,11,19,24.1,0.21,16,0.8,1.3
72,Puli,2024-05-31 00:00,36,Good,8,26,7.1,0.21,5.6,1.6,0.9
71,Fuxing,2024-05-31 00:00,19,Good,0,7,20.1,0.12,8.3,1.5,0.7
70,Yonghe,2024-05-31 00:00,58,Moderate,48,,8.2,0.39,8.8,3.2,0.7
69,Zhushan,2024-05-31 00:00,36,Good,6,25,5.2,0.13,4.6,0.7,0.7
68,Zhongli,2024-05-31 00:00,47,Good,16,25,13.6,0.6,22.8,4.7,1.8
67,Sanchong,2024-05-31 00:00,43,Good,11,21,2.2,0.86,26.6,30.9,0.8
66,Dongshan,2024-05-31 00:00,24,Good,6,19,12.2,0.26,2.7,0.6,0.3
65,Yilan,2024-05-31 00:00,27,Good,4,18,11.6,0.19,3,0.5,0.5
64,Yangming,2024-05-31 00:00,25,Good,7,12,34.1,0.17,2.3,0.6,0.8
63,Hualien,2024-05-31 00:00,26,Good,4,9,17.2,0.18,2.2,0.4,0.4
62,Taitung,2024-05-31 00:00,20,Good,3,23,14.4,0.11,1.8,1.8,0
61,Hengchun,2024-05-31 00:00,28,Good,3,15,28.4,0.1,0.9,0.5,0.6
60,Chaozhou,2024-05-31 00:00,20,Good,3,16,21.3,0.07,2.6,0.2,0.6
59,Pingtung,2024-05-31 00:00,22,Good,4,16,22.7,0.12,4.4,0.5,0.5
58,Xiaogang,2024-05-31 00:00,26,Good,7,7,20.5,0.21,8.1,0.8,8.3
57,Qianzhen,2024-05-31 00:00,17,Good,5,11,20,0.13,9.9,2.1,0.9
56,Qianjin,2024-05-31 00:00,19,Good,0,5,20.4,0.1,9.7,0,1.3
54,Zuoying,2024-05-31 00:00,31,Good,12,8,20.8,0.14,9.1,0,1.9
53,Nanzi,2024-05-31 00:00,25,Good,6,15,14.9,0.36,15.8,0.7,1.6
52,Linyuan,2024-05-31 00:00,30,Good,1,28,30.3,0.09,0.7,0.6,0.6
51,Daliao,2024-05-31 00:00,25,Good,3,11,26.2,0.09,1.8,0.2,0.3
