siteid,sitename,datacreationdate,aqi,status,no2,so2,o3,pm10,no
51,Daliao,2024-05-31 10:00,17,Good,2.6,0.4,25.5,21,1.4
50,Fengshan,2024-05-31 10:00,16,Good,7.6,2.9,24.1,22,2.8
49,Renwu,2024-05-31 10:00,19,Good,7.5,2.3,28.1,12,2.5
48,Qiaotou,2024-05-31 10:00,15,Good,8.7,1.3,26.9,19,3.9
47,Meinong,2024-05-31 10:00,17,Good,2,0,27.7,16,1.2
46,Tainan,2024-05-31 10:00,20,Good,7.7,1.2,28.4,18,2.4
45,Annan,2024-05-31 10:00,19,Good,9.1,0.9,27.6,21,3.8
44,Shanhua,2024-05-31 10:00,19,Good,2.6,0.7,29.7,7,1.3
43,Xinying,2024-05-31 10:00,19,Good,4.2,0.9,26.8,8,1.8
42,Chiayi,2024-05-31 10:00,21,Good,2.8,1.1,26.3,11,1.8
41,Taixi,2024-05-31 10:00,21,Good,2.7,1.5,29.9,12,1
40,Puzi,2024-05-31 10:00,18,Good,7,1.2,25.8,13,4.8
39,Xingang,2024-05-31 10:00,20,Good,4,,28.6,14,1.7
38,Lunbei,2024-05-31 10:00,19,Good,2.4,0.6,26.7,8,0.5
37,Douliu,2024-05-31 10:00,19,Good,3,1,36.8,12,1.3
36,Nantou,2024-05-31 10:00,28,Good,3.1,0.3,29.1,21,1
35,Erlin,2024-05-31 10:00,29,Good,1.8,1.1,30.9,17,0.7
34,Xianxi,2024-05-31 10:00,19,Good,2.7,0.5,33,18,2.7
33,Changhua,2024-05-31 10:00,17,Good,3.9,0.6,34.3,23,1.6
32,Xitun,2024-05-31 10:00,23,Good,5.8,0.9,32.5,16,2.5
31,Zhongming,2024-05-31 10:00,20,Good,6.5,1.6,30.6,18,2.8
30,Dali,2024-05-31 10:00,21,Good,5.4,1.2,29.8,17,1.9
29,Shalu,2024-05-31 10:00,19,Good,4.7,0.8,35.2,16,2.1
28,Fengyuan,2024-05-31 10:00,19,Good,4.4,1.2,35.3,12,2.4
27,Sanyi,2024-05-31 10:00,20,Good,2.7,1.3,36.8,12,1.7
26,Miaoli,2024-05-31 10:00,24,Good,2.7,0.8,36.9,23,1.7
25,Toufen,2024-05-31 10:00,24,Good,2.7,0.7,33,8,2.1
24,Hsinchu,2024-05-31 10:00,28,Good,8.3,1.3,29.1,10,3.4
23,Zhudong,2024-05-31 10:00,35,Good,2.1,0.2,27.8,9,1
22,Hukou,2024-05-31 10:00,47,Good,5,1,33.2,19,2.9
21,Longtan,2024-05-31 10:00,34,Good,5.7,0.4,30.4,16,2.2
20,Pingzhen,2024-05-31 10:00,36,Good,8.1,0.5,30.6,16,2.4
19,Guanyin,2024-05-31 10:00,48,Good,10,0,32.9,30,4
18,Dayuan,2024-05-31 10:00,36,Good,10.6,1.7,,30,2.3
