siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5
203,Tainan（Madou）,2024-05-31 03:00,17,Good,19.4,3.2,5
202,Kaohsiung（Hunei）,2024-05-31 03:00,18,Good,17.1,4.8,6
201,Changhua（Yuanlin）,2024-05-31 03:00,35,Good,8.7,8.4,8
85,Dacheng,2024-05-31 03:00,16,Good,20,4.1,4
84,FugueiCape,2024-05-31 03:00,27,Good,20.1,9.2,9
83,Mailiao,2024-05-31 03:00,21,Good,21.9,3.3,5
80,Guanshan,2024-05-31 03:00,23,Good,5.2,1.6,4
78,Magong,2024-05-31 03:00,26,Good,27.3,2.6,1
77,Kinmen,2024-05-31 03:00,81,Moderate,4,27.3,30
75,Matsu,2024-05-31 03:00,37,Good,40.1,5.4,11
72,Puli,2024-05-31 03:00,33,Good,7.9,2.1,10
71,Fuxing,2024-05-31 03:00,18,Good,21.1,4,1
70,Yonghe,2024-05-31 03:00,57,Moderate,7.1,4.6,9
69,Zhushan,2024-05-31 03:00,25,Good,3.6,4.7,6
68,Zhongli,2024-05-31 03:00,53,Moderate,4,23,20
67,Sanchong,2024-05-31 03:00,39,Good,4.1,15.1,12
66,Dongshan,2024-05-31 03:00,24,Good,4.7,4.8,6
65,Yilan,2024-05-31 03:00,17,Good,9,2.4,1
64,Yangming,2024-05-31 03:00,26,Good,30.5,2.3,7
63,Hualien,2024-05-31 03:00,20,Good,11.4,1.1,4
62,Taitung,2024-05-31 03:00,17,Good,13,2.8,3
61,Hengchun,2024-05-31 03:00,25,Good,30.1,0.6,4
60,Chaozhou,2024-05-31 03:00,16,Good,14.6,1.3,2
59,Pingtung,2024-05-31 03:00,20,Good,18,3,2
58,Xiaogang,2024-05-31 03:00,31,Good,20,6.8,6
57,Qianzhen,2024-05-31 03:00,17,Good,21.4,5.8,0
56,Qianjin,2024-05-31 03:00,18,Good,21.9,4.3,2
54,Zuoying,2024-05-31 03:00,26,Good,21.8,4.1,5
53,Nanzi,2024-05-31 03:00,18,Good,20.1,7.4,3
52,Linyuan,2024-05-31 03:00,26,Good,19,1.8,5
51,Daliao,2024-05-31 03:00,21,Good,16.9,3.1,4
50,Fengshan,2024-05-31 03:00,21,Good,22.6,1.5,0
49,Renwu,2024-05-31 03:00,23,Good,24,3.2,5
48,Qiaotou,2024-05-31 03:00,18,Good,18.7,3.5,0
47,Meinong,2024-05-31 03:00,17,Good,24.3,0.8,0
46,Tainan,2024-05-31 03:00,27,Good,20.6,5.3,6
45,Annan,2024-05-31 03:00,24,Good,21,5.7,6
44,Shanhua,2024-05-31 03:00,24,Good,20.5,2.1,3
43,Xinying,2024-05-31 03:00,19,Good,19.8,2.6,0
42,Chiayi,2024-05-31 03:00,19,Good,21.9,1.1,2
41,Taixi,2024-05-31 03:00,19,Good,20.6,3.8,3
40,Puzi,2024-05-31 03:00,17,Good,18.7,4,
39,Xingang,2024-05-31 03:00,22,Good,22.4,2.4,5
38,Lunbei,2024-05-31 03:00,20,Good,20.6,1.7,5
37,Douliu,2024-05-31 03:00,23,Good,7.5,7.9,5
36,Nantou,2024-05-31 03:00,28,Good,4.8,4.8,4
35,Erlin,2024-05-31 03:00,44,Good,11.7,7.3,13
34,Xianxi,2024-05-31 03:00,28,Good,4.3,9.1,8
33,Changhua,2024-05-31 03:00,23,Good,16.2,5.1,3
32,Xitun,2024-05-31 03:00,30,Good,6.8,6.5,8
31,Zhongming,2024-05-31 03:00,26,Good,6.2,6.5,9
30,Dali,2024-05-31 03:00,31,Good,8.8,4.6,3
29,Shalu,2024-05-31 03:00,26,Good,18,6.2,6
28,Fengyuan,2024-05-31 03:00,19,Good,19.6,3.6,2
27,Sanyi,2024-05-31 03:00,24,Good,20.1,1.5,4
26,Miaoli,2024-05-31 03:00,44,Good,0.2,11,10
25,Toufen,2024-05-31 03:00,36,Good,6.7,4.5,9
24,Hsinchu,2024-05-31 03:00,35,Good,17.4,9.4,9
23,Zhudong,2024-05-31 03:00,54,Moderate,8.1,4.6,16
22,Hukou,2024-05-31 03:00,51,Moderate,17.4,10.6,17
21,Longtan,2024-05-31 03:00,59,Moderate,4.8,15.8,18
20,Pingzhen,2024-05-31 03:00,44,Good,4,23.7,15
19,Guanyin,2024-05-31 03:00,35,Good,19.3,8.6,19
18,Dayuan,2024-05-31 03:00,49,Good,17.8,9.8,16
17,Taoyuan,2024-05-31 03:00,49,Good,8,20,22
16,Datong,2024-05-31 03:00,38,Good,4.8,13.3,12
15,Songshan,2024-05-31 03:00,44,Good,5.7,13.6,13
