site_id,site_name,created_date,PM2.5,SO2,O3
10,Tamsui,2024-05-25 03:00,5.0,0.7,4.6
9,Linkou,2024-05-25 03:00,3.0,0.6,17.2
8,Cailiao,2024-05-25 03:00,8.0,0.8,0.1
7,Xinzhuang,2024-05-25 03:00,14.0,0.5,0.2
6,Banqiao,2024-05-25 03:00,2.0,0.5,12.4
5,Tucheng,2024-05-25 03:00,12.0,0.0,1.2
4,Xindian,2024-05-25 03:00,7.0,0.6,15.0
3,Wanli,2024-05-25 03:00,4.0,0.5,12.5
2,Xizhi,2024-05-25 03:00,9.0,0.7,0.5
1,Keelung,2024-05-25 03:00,2.0,0.3,4.5
313,Pingtung（fangshan）,2024-05-25 02:00,7.0,0.1,28.0
312,Taichung（Rilana Elementary）,2024-05-25 02:00,4.0,1.1,4.3
311,New Taipei(Shulin),2024-05-25 02:00,15.0,0.1,3.2
204,Pingtung（Liuqiu）,2024-05-25 02:00,16.0,1.0,19.8
203,Tainan（Madou）,2024-05-25 02:00,18.0,0.3,0.3
202,Kaohsiung（Hunei）,2024-05-25 02:00,16.0,0.8,7.7
201,Changhua（Yuanlin）,2024-05-25 02:00,15.0,1.8,15.6
85,Dacheng,2024-05-25 02:00,22.0,1.2,3.5
84,FugueiCape,2024-05-25 02:00,2.0,0.0,16.5
83,Mailiao,2024-05-25 02:00,22.0,1.6,3.3
80,Guanshan,2024-05-25 02:00,0.0,0.6,23.3
78,Magong,2024-05-25 02:00,7.0,0.8,30.6
77,Kinmen,2024-05-25 02:00,21.0,0.7,27.9
75,Matsu,2024-05-25 02:00,11.0,0.4,29.0
72,Puli,2024-05-25 02:00,10.0,1.6,8.4
71,Fuxing,2024-05-25 02:00,12.0,1.2,22.9
70,Yonghe,2024-05-25 02:00,4.0,0.5,7.3
69,Zhushan,2024-05-25 02:00,8.0,0.6,7.4
68,Zhongli,2024-05-25 02:00,10.0,0.8,2.0
67,Sanchong,2024-05-25 02:00,11.0,0.9,0.8
66,Dongshan,2024-05-25 02:00,8.0,0.1,10.4
65,Yilan,2024-05-25 02:00,8.0,0.8,18.8
64,Yangming,2024-05-25 02:00,2.0,0.4,23.9
63,Hualien,2024-05-25 02:00,8.0,0.4,14.6
62,Taitung,2024-05-25 02:00,0.0,0.6,20.1
61,Hengchun,2024-05-25 02:00,2.0,0.3,23.3
60,Chaozhou,2024-05-25 02:00,22.0,0.7,5.8
59,Pingtung,2024-05-25 02:00,18.0,0.9,15.2
58,Xiaogang,2024-05-25 02:00,17.0,1.6,18.5
57,Qianzhen,2024-05-25 02:00,13.0,1.3,21.9
56,Qianjin,2024-05-25 02:00,18.0,1.3,13.0
54,Zuoying,2024-05-25 02:00,16.0,,11.4
53,Nanzi,2024-05-25 02:00,18.0,1.0,9.4
52,Linyuan,2024-05-25 02:00,11.0,0.8,14.7
51,Daliao,2024-05-25 02:00,14.0,2.9,9.3
50,Fengshan,2024-05-25 02:00,10.0,1.0,21.3
49,Renwu,2024-05-25 02:00,14.0,1.5,20.2
48,Qiaotou,2024-05-25 02:00,16.0,1.1,13.7
47,Meinong,2024-05-25 02:00,12.0,0.6,17.4
46,Tainan,2024-05-25 02:00,14.0,1.9,13.5
45,Annan,2024-05-25 02:00,20.0,1.7,4.8
44,Shanhua,2024-05-25 02:00,21.0,0.8,8.0
43,Xinying,2024-05-25 02:00,21.0,2.2,0.7
42,Chiayi,2024-05-25 02:00,15.0,0.8,5.1
41,Taixi,2024-05-25 02:00,16.0,1.2,4.0
40,Puzi,2024-05-25 02:00,26.0,0.8,1.6
