siteid,sitename,datacreationdate,aqi,status,co,no,no2,o3,pm10,pm2.5,so2
22,Hukou,2024-05-31 04:00,49,Good,0.24,0.8,10.4,15.0,24.0,13.0,6.7
21,Longtan,2024-05-31 04:00,57,Moderate,0.32,0.4,12.5,2.5,25.0,15.0,1.4
20,Pingzhen,2024-05-31 04:00,48,Good,0.35,0.2,22.7,3.0,28.0,21.0,0.7
19,Guanyin,2024-05-31 04:00,39,Good,0.22,0.5,11.2,14.5,21.0,17.0,21.4
18,Dayuan,2024-05-31 04:00,48,Good,0.36,1.8,12.6,12.1,28.0,15.0,2.1
17,Taoyuan,2024-05-31 04:00,53,Moderate,0.49,1.9,22.7,0.0,29.0,19.0,2.0
16,Datong,2024-05-31 04:00,39,Good,1.41,20.6,8.8,5.7,21.0,12.0,1.8
15,Songshan,2024-05-31 04:00,42,Good,0.47,6.1,10.9,6.5,13.0,9.0,0.2
14,Guting,2024-05-31 04:00,24,Good,0.45,1.6,3.2,7.3,11.0,7.0,0.4
13,Wanhua,2024-05-31 04:00,30,Good,0.64,1.7,7.1,6.9,21.0,8.0,0.6
12,Zhongshan,2024-05-31 04:00,29,Good,0.84,13.7,7.0,6.8,14.0,5.0,1.0
11,Shilin,2024-05-31 04:00,41,Good,0.35,1.1,10.1,7.5,23.0,17.0,0.5
10,Tamsui,2024-05-31 04:00,37,Good,0.26,2.5,19.2,4.3,27.0,14.0,2.9
9,Linkou,2024-05-31 04:00,37,Good,0.18,0.6,22.8,8.8,13.0,12.0,0.9
8,Cailiao,2024-05-31 04:00,34,Good,0.48,1.1,13.1,3.9,18.0,8.0,0.9
7,Xinzhuang,2024-05-31 04:00,55,Moderate,0.55,3.3,16.1,6.2,13.0,20.0,0.7
6,Banqiao,2024-05-31 04:00,39,Good,0.55,1.3,16.6,2.3,17.0,12.0,1.0
5,Tucheng,2024-05-31 04:00,55,Moderate,0.65,1.5,13.0,3.1,28.0,20.0,2.3
4,Xindian,2024-05-31 04:00,37,Good,0.39,1.6,2.6,8.2,13.0,12.0,0.6
3,Wanli,2024-05-31 04:00,23,Good,0.29,1.6,6.9,5.3,27.0,6.0,0.4
2,Xizhi,2024-05-31 04:00,44,Good,0.44,3.6,15.0,0.6,27.0,15.0,4.0
1,Keelung,2024-05-31 04:00,24,Good,0.47,5.2,10.5,0.9,19.0,8.0,1.4
313,Pingtung（fangshan）,2024-05-31 03:00,23,Good,0.09,0.1,1.7,20.6,14.0,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-31 03:00,22,Good,0.1,0.3,7.3,11.2,32.0,3.0,0.6
311,New Taipei(Shulin),2024-05-31 03:00,51,Moderate,0.41,1.5,7.1,5.6,23.0,14.0,5.9
204,Pingtung（Liuqiu）,2024-05-31 03:00,24,Good,0.1,1.2,0.7,25.7,10.0,6.0,0.7
203,Tainan（Madou）,2024-05-31 03:00,17,Good,0.19,1.9,3.2,19.4,22.0,5.0,0.0
202,Kaohsiung（Hunei）,2024-05-31 03:00,18,Good,0.26,2.9,4.8,17.1,16.0,6.0,1.2
201,Changhua（Yuanlin）,2024-05-31 03:00,35,Good,0.39,5.8,8.4,8.7,22.0,8.0,1.8
85,Dacheng,2024-05-31 03:00,16,Good,0.09,0.5,4.1,20.0,18.0,4.0,1.0
84,FugueiCape,2024-05-31 03:00,27,Good,0.14,0.2,9.2,20.1,39.0,9.0,0.2
83,Mailiao,2024-05-31 03:00,21,Good,0.15,1.1,3.3,21.9,11.0,5.0,1.2
80,Guanshan,2024-05-31 03:00,23,Good,0.15,0.4,1.6,5.2,4.0,4.0,0.4
78,Magong,2024-05-31 03:00,26,Good,0.23,1.9,2.6,27.3,7.0,1.0,1.1
77,Kinmen,2024-05-31 03:00,81,Moderate,0.35,0.5,27.3,4.0,37.0,30.0,1.7
75,Matsu,2024-05-31 03:00,37,Good,0.18,0.5,5.4,40.1,24.0,11.0,0.9
72,Puli,2024-05-31 03:00,33,Good,0.25,1.5,2.1,7.9,20.0,10.0,1.0
71,Fuxing,2024-05-31 03:00,18,Good,0.33,3.1,4.0,21.1,15.0,1.0,1.8
70,Yonghe,2024-05-31 03:00,57,Moderate,0.89,7.4,4.6,7.1,11.0,9.0,0.7
69,Zhushan,2024-05-31 03:00,25,Good,0.16,0.8,4.7,3.6,10.0,6.0,1.2
68,Zhongli,2024-05-31 03:00,53,Moderate,1.14,27.7,23.0,4.0,27.0,20.0,1.7
67,Sanchong,2024-05-31 03:00,39,Good,1.21,50.4,15.1,4.1,22.0,12.0,0.8
66,Dongshan,2024-05-31 03:00,24,Good,0.26,2.3,4.8,4.7,23.0,6.0,0.5
65,Yilan,2024-05-31 03:00,17,Good,0.23,0.5,2.4,9.0,22.0,1.0,0.9
64,Yangming,2024-05-31 03:00,26,Good,0.15,0.7,2.3,30.5,10.0,7.0,0.9
63,Hualien,2024-05-31 03:00,20,Good,0.27,1.2,1.1,11.4,42.0,4.0,0.6
62,Taitung,2024-05-31 03:00,17,Good,0.34,2.9,2.8,13.0,7.0,3.0,0.2
61,Hengchun,2024-05-31 03:00,25,Good,0.1,0.7,0.6,30.1,20.0,4.0,0.6
60,Chaozhou,2024-05-31 03:00,16,Good,0.09,0.2,1.3,14.6,12.0,2.0,0.9
59,Pingtung,2024-05-31 03:00,20,Good,0.25,1.1,3.0,18.0,17.0,2.0,0.6
58,Xiaogang,2024-05-31 03:00,31,Good,0.44,2.2,6.8,20.0,19.0,6.0,5.4
57,Qianzhen,2024-05-31 03:00,17,Good,0.51,6.5,5.8,21.4,21.0,0.0,1.6
56,Qianjin,2024-05-31 03:00,18,Good,0.13,1.2,4.3,21.9,17.0,2.0,1.6
54,Zuoying,2024-05-31 03:00,26,Good,0.23,1.4,4.1,21.8,14.0,5.0,1.5
53,Nanzi,2024-05-31 03:00,18,Good,0.24,1.4,7.4,20.1,22.0,3.0,0.5
52,Linyuan,2024-05-31 03:00,26,Good,0.11,0.9,1.8,19.0,20.0,5.0,0.8
51,Daliao,2024-05-31 03:00,21,Good,0.12,0.9,3.1,16.9,17.0,4.0,0.3
50,Fengshan,2024-05-31 03:00,21,Good,0.43,1.7,1.5,22.6,25.0,0.0,1.6
49,Renwu,2024-05-31 03:00,23,Good,0.24,1.2,3.2,24.0,11.0,5.0,0.0
48,Qiaotou,2024-05-31 03:00,18,Good,0.35,1.0,3.5,18.7,14.0,0.0,1.5
47,Meinong,2024-05-31 03:00,17,Good,0.11,1.2,0.8,24.3,15.0,0.0,0.7
46,Tainan,2024-05-31 03:00,27,Good,0.28,1.1,5.3,20.6,21.0,6.0,1.5
45,Annan,2024-05-31 03:00,24,Good,0.29,3.3,5.7,21.0,26.0,6.0,0.8
44,Shanhua,2024-05-31 03:00,24,Good,0.11,1.3,2.1,20.5,18.0,3.0,0.8
43,Xinying,2024-05-31 03:00,19,Good,0.25,0.9,2.6,19.8,17.0,0.0,0.3
42,Chiayi,2024-05-31 03:00,19,Good,0.18,1.2,1.1,21.9,15.0,2.0,1.4
41,Taixi,2024-05-31 03:00,19,Good,0.11,1.3,3.8,20.6,17.0,3.0,1.4
40,Puzi,2024-05-31 03:00,17,Good,0.24,3.1,4.0,18.7,17.0,,1.1
39,Xingang,2024-05-31 03:00,22,Good,0.14,1.9,2.4,22.4,14.0,5.0,0.8
38,Lunbei,2024-05-31 03:00,20,Good,0.16,1.6,1.7,20.6,9.0,5.0,1.1
37,Douliu,2024-05-31 03:00,23,Good,0.21,1.8,7.9,7.5,10.0,5.0,1.6
36,Nantou,2024-05-31 03:00,28,Good,0.18,1.6,4.8,4.8,14.0,4.0,0.5
35,Erlin,2024-05-31 03:00,44,Good,0.14,1.8,7.3,11.7,17.0,13.0,0.9
34,Xianxi,2024-05-31 03:00,28,Good,0.18,1.6,9.1,4.3,20.0,8.0,1.3
33,Changhua,2024-05-31 03:00,23,Good,0.21,1.8,5.1,16.2,30.0,3.0,0.5
32,Xitun,2024-05-31 03:00,30,Good,0.18,0.9,6.5,6.8,28.0,8.0,1.2
31,Zhongming,2024-05-31 03:00,26,Good,0.28,1.3,6.5,6.2,23.0,9.0,1.3
30,Dali,2024-05-31 03:00,31,Good,0.35,1.1,4.6,8.8,21.0,3.0,1.8
29,Shalu,2024-05-31 03:00,26,Good,0.27,0.5,6.2,18.0,34.0,6.0,1.5
