siteid,sitename,datacreationdate,aqi,status,pm2.5,co
20,Pingzhen,2024-05-31 08:00,46,Good,11,0.32
19,Guanyin,2024-05-31 08:00,45,Good,16,0.2
18,Dayuan,2024-05-31 08:00,45,Good,9,0.24
17,Taoyuan,2024-05-31 08:00,56,Moderate,16,0.52
16,Datong,2024-05-31 08:00,39,Good,15,2.66
15,Songshan,2024-05-31 08:00,44,Good,14,0.47
14,Guting,2024-05-31 08:00,30,Good,9,0.39
13,Wanhua,2024-05-31 08:00,34,Good,12,0.42
12,Zhongshan,2024-05-31 08:00,28,Good,9,0.58
11,Shilin,2024-05-31 08:00,41,Good,10,0.4
10,Tamsui,2024-05-31 08:00,41,Good,16,0.52
9,Linkou,2024-05-31 08:00,41,Good,7,0.38
8,Cailiao,2024-05-31 08:00,31,Good,6,0.57
7,Xinzhuang,2024-05-31 08:00,63,Moderate,20,0.58
6,Banqiao,2024-05-31 08:00,48,Good,21,0.79
5,Tucheng,2024-05-31 08:00,62,Moderate,24,0.57
4,Xindian,2024-05-31 08:00,37,Good,13,0.35
3,Wanli,2024-05-31 08:00,23,Good,7,0.35
2,Xizhi,2024-05-31 08:00,44,Good,14,0.51
1,Keelung,2024-05-31 08:00,30,Good,11,0.39
313,Pingtung（fangshan）,2024-05-31 07:00,20,Good,1,0.13
312,Taichung（Rilana Elementary）,2024-05-31 07:00,18,Good,2,0
311,New Taipei(Shulin),2024-05-31 07:00,55,Moderate,16,0.41
204,Pingtung（Liuqiu）,2024-05-31 07:00,20,Good,6,0.09
203,Tainan（Madou）,2024-05-31 07:00,16,Good,5,0.2
202,Kaohsiung（Hunei）,2024-05-31 07:00,15,Good,2,0.19
201,Changhua（Yuanlin）,2024-05-31 07:00,32,Good,3,0.3
85,Dacheng,2024-05-31 07:00,16,Good,0,0.06
84,FugueiCape,2024-05-31 07:00,36,Good,14,0.24
83,Mailiao,2024-05-31 07:00,18,Good,2,0.21
80,Guanshan,2024-05-31 07:00,25,Good,4,0.14
78,Magong,2024-05-31 07:00,23,Good,3,0.14
77,Kinmen,2024-05-31 07:00,84,Moderate,28,0.39
75,Matsu,2024-05-31 07:00,53,Moderate,14,0.35
72,Puli,2024-05-31 07:00,25,Good,8,0.2
71,Fuxing,2024-05-31 07:00,20,Good,3,0.32
70,Yonghe,2024-05-31 07:00,37,Good,6,0.36
69,Zhushan,2024-05-31 07:00,31,Good,9,0.13
68,Zhongli,2024-05-31 07:00,55,Moderate,15,1.53
67,Sanchong,2024-05-31 07:00,34,Good,10,0.73
