level_0,aqi,co,datacreationdate,index,no,no2,o3,pm10,pm2.5,siteid,sitename,so2,status
123,17,0.13,2024-05-31 04:00,123,1.3,0.8,19.0,17.0,0.0,47,Meinong,0.7,Good
124,25,0.28,2024-05-31 04:00,124,0.9,4.8,19.9,19.0,7.0,46,Tainan,1.2,Good
125,24,0.32,2024-05-31 04:00,125,2.6,3.3,21.5,22.0,6.0,45,Annan,1.2,Good
126,21,0.09,2024-05-31 04:00,126,1.2,1.8,20.8,14.0,6.0,44,Shanhua,0.2,Good
127,19,0.19,2024-05-31 04:00,127,0.9,2.3,20.9,15.0,0.0,43,Xinying,0.1,Good
128,19,0.19,2024-05-31 04:00,128,0.8,0.9,25.3,17.0,1.0,42,Chiayi,1.3,Good
129,19,0.11,2024-05-31 04:00,129,1.0,2.3,21.1,16.0,0.0,41,Taixi,1.3,Good
130,16,0.27,2024-05-31 04:00,130,2.4,3.7,16.8,22.0,,40,Puzi,1.2,Good
131,21,0.18,2024-05-31 04:00,131,1.3,3.3,21.2,15.0,5.0,39,Xingang,0.9,Good
132,19,0.17,2024-05-31 04:00,132,1.0,3.6,18.0,13.0,5.0,38,Lunbei,0.8,Good
133,23,0.27,2024-05-31 04:00,133,1.3,4.4,10.8,23.0,5.0,37,Douliu,1.7,Good
134,28,0.21,2024-05-31 04:00,134,1.1,4.3,3.4,14.0,3.0,36,Nantou,0.5,Good
135,42,0.16,2024-05-31 04:00,135,1.7,3.2,17.4,17.0,8.0,35,Erlin,0.7,Good
136,27,0.19,2024-05-31 04:00,136,1.4,6.6,11.5,11.0,5.0,34,Xianxi,0.5,Good
137,19,0.19,2024-05-31 04:00,137,1.7,7.1,9.2,20.0,3.0,33,Changhua,0.4,Good
138,26,0.21,2024-05-31 04:00,138,0.8,8.1,5.4,22.0,6.0,32,Xitun,1.1,Good
139,25,0.29,2024-05-31 04:00,139,1.0,4.6,8.5,18.0,8.0,31,Zhongming,1.2,Good
140,24,0.28,2024-05-31 04:00,140,0.6,4.3,7.5,14.0,2.0,30,Dali,1.6,Good
141,24,0.27,2024-05-31 04:00,141,0.3,7.1,12.0,31.0,5.0,29,Shalu,1.2,Good
142,18,0.22,2024-05-31 04:00,142,1.0,4.2,14.3,20.0,3.0,28,Fengyuan,0.8,Good
143,23,0.19,2024-05-31 04:00,143,1.2,1.0,18.2,18.0,6.0,27,Sanyi,0.8,Good
144,40,0.22,2024-05-31 04:00,144,1.0,9.7,0.9,20.0,10.0,26,Miaoli,1.2,Good
145,34,0.27,2024-05-31 04:00,145,1.5,6.0,6.1,26.0,9.0,25,Toufen,1.3,Good
146,32,0.34,2024-05-31 04:00,146,0.7,12.0,5.4,23.0,9.0,24,Hsinchu,3.9,Good
147,53,0.31,2024-05-31 04:00,147,0.5,4.7,5.9,21.0,14.0,23,Zhudong,0.1,Moderate
148,49,0.24,2024-05-31 04:00,148,0.8,10.4,15.0,24.0,13.0,22,Hukou,6.7,Good
149,57,0.32,2024-05-31 04:00,149,0.4,12.5,2.5,25.0,15.0,21,Longtan,1.4,Moderate
150,48,0.35,2024-05-31 04:00,150,0.2,22.7,3.0,28.0,21.0,20,Pingzhen,0.7,Good
