siteid,sitename,datacreationdate,aqi,status,index,co,no,no2,o3,pm10,pm2.5,so2
313,Pingtung（fangshan）,2024-05-31 00:00,27,Good,170.0,0.08,0.0,1.0,31.2,22.0,3.0,0.0
312,Taichung（Rilana Elementary）,2024-05-31 00:00,31,Good,171.0,0.05,2.2,8.6,21.5,13.0,7.0,0.1
311,New Taipei(Shulin),2024-05-31 00:00,54,Moderate,172.0,0.39,2.0,13.1,4.6,26.0,16.0,0.9
204,Pingtung（Liuqiu）,2024-05-31 00:00,26,Good,173.0,0.06,1.1,0.7,25.8,11.0,6.0,0.5
203,Tainan（Madou）,2024-05-31 00:00,22,Good,174.0,0.15,0.8,13.0,15.4,14.0,3.0,0.5
202,Kaohsiung（Hunei）,2024-05-31 00:00,17,Good,175.0,0.26,1.3,8.5,14.4,13.0,6.0,1.1
201,Changhua（Yuanlin）,2024-05-31 00:00,44,Good,176.0,0.25,0.5,9.2,14.7,24.0,11.0,1.8
85,Dacheng,2024-05-31 00:00,25,Good,177.0,0.12,0.0,5.8,13.7,16.0,6.0,0.8
84,FugueiCape,2024-05-31 00:00,31,Good,178.0,0.17,0.1,5.5,27.1,30.0,8.0,0.5
83,Mailiao,2024-05-31 00:00,24,Good,179.0,0.18,0.7,7.4,15.6,22.0,7.0,1.4
80,Guanshan,2024-05-31 00:00,15,Good,180.0,0.12,0.4,1.9,6.5,31.0,2.0,0.4
78,Magong,2024-05-31 00:00,27,Good,181.0,0.1,1.0,3.8,29.2,5.0,1.0,1.1
77,Kinmen,2024-05-31 00:00,73,Moderate,182.0,0.34,1.0,19.3,9.8,29.0,25.0,1.8
75,Matsu,2024-05-31 00:00,39,Good,183.0,0.21,0.8,16.0,24.1,19.0,11.0,1.3
72,Puli,2024-05-31 00:00,36,Good,184.0,0.21,1.6,5.6,7.1,26.0,8.0,0.9
71,Fuxing,2024-05-31 00:00,19,Good,185.0,0.12,1.5,8.3,20.1,7.0,0.0,0.7
70,Yonghe,2024-05-31 00:00,58,Moderate,186.0,0.39,3.2,8.8,8.2,,48.0,0.7
69,Zhushan,2024-05-31 00:00,36,Good,187.0,0.13,0.7,4.6,5.2,25.0,6.0,0.7
68,Zhongli,2024-05-31 00:00,47,Good,188.0,0.6,4.7,22.8,13.6,25.0,16.0,1.8
67,Sanchong,2024-05-31 00:00,43,Good,189.0,0.86,30.9,26.6,2.2,21.0,11.0,0.8
66,Dongshan,2024-05-31 00:00,24,Good,190.0,0.26,0.6,2.7,12.2,19.0,6.0,0.3
65,Yilan,2024-05-31 00:00,27,Good,191.0,0.19,0.5,3.0,11.6,18.0,4.0,0.5
64,Yangming,2024-05-31 00:00,25,Good,192.0,0.17,0.6,2.3,34.1,12.0,7.0,0.8
63,Hualien,2024-05-31 00:00,26,Good,193.0,0.18,0.4,2.2,17.2,9.0,4.0,0.4
62,Taitung,2024-05-31 00:00,20,Good,194.0,0.11,1.8,1.8,14.4,23.0,3.0,0.0
61,Hengchun,2024-05-31 00:00,28,Good,195.0,0.1,0.5,0.9,28.4,15.0,3.0,0.6
60,Chaozhou,2024-05-31 00:00,20,Good,196.0,0.07,0.2,2.6,21.3,16.0,3.0,0.6
59,Pingtung,2024-05-31 00:00,22,Good,197.0,0.12,0.5,4.4,22.7,16.0,4.0,0.5
58,Xiaogang,2024-05-31 00:00,26,Good,198.0,0.21,0.8,8.1,20.5,7.0,7.0,8.3
57,Qianzhen,2024-05-31 00:00,17,Good,199.0,0.13,2.1,9.9,20.0,11.0,5.0,0.9
56,Qianjin,2024-05-31 00:00,19,Good,200.0,0.1,0.0,9.7,20.4,5.0,0.0,1.3
54,Zuoying,2024-05-31 00:00,31,Good,201.0,0.14,0.0,9.1,20.8,8.0,12.0,1.9
53,Nanzi,2024-05-31 00:00,25,Good,202.0,0.36,0.7,15.8,14.9,15.0,6.0,1.6
52,Linyuan,2024-05-31 00:00,30,Good,203.0,0.09,0.6,0.7,30.3,28.0,1.0,0.6
51,Daliao,2024-05-31 00:00,25,Good,204.0,0.09,0.2,1.8,26.2,11.0,3.0,0.3
50,Fengshan,2024-05-31 00:00,22,Good,205.0,0.2,0.4,5.9,23.5,12.0,4.0,0.9
49,Renwu,2024-05-31 00:00,26,Good,206.0,0.34,0.7,9.5,20.9,9.0,8.0,1.7
48,Qiaotou,2024-05-31 00:00,19,Good,207.0,0.26,0.1,10.9,17.3,9.0,7.0,0.9
47,Meinong,2024-05-31 00:00,20,Good,208.0,0.16,1.3,2.7,11.8,26.0,8.0,0.7
46,Tainan,2024-05-31 00:00,29,Good,209.0,0.21,0.5,12.0,15.0,12.0,10.0,1.6
45,Annan,2024-05-31 00:00,30,Good,210.0,0.24,1.8,12.8,15.5,14.0,5.0,1.8
44,Shanhua,2024-05-31 00:00,27,Good,211.0,0.09,1.2,2.8,17.4,12.0,11.0,0.2
43,Xinying,2024-05-31 00:00,24,Good,212.0,0.15,0.5,3.5,19.5,14.0,0.0,0.0
42,Chiayi,2024-05-31 00:00,24,Good,213.0,0.17,1.0,6.1,14.6,15.0,4.0,1.5
41,Taixi,2024-05-31 00:00,23,Good,214.0,0.17,1.0,5.9,16.3,21.0,3.0,1.5
40,Puzi,2024-05-31 00:00,21,Good,215.0,0.15,1.4,5.4,18.1,17.0,,1.2
39,Xingang,2024-05-31 00:00,29,Good,216.0,0.12,1.5,3.8,19.9,15.0,6.0,0.4
38,Lunbei,2024-05-31 00:00,31,Good,217.0,0.15,3.6,5.3,14.3,13.0,7.0,1.0
37,Douliu,2024-05-31 00:00,28,Good,218.0,0.14,1.3,3.0,10.9,26.0,7.0,1.0
36,Nantou,2024-05-31 00:00,25,Good,219.0,0.16,0.6,5.7,7.0,30.0,7.0,0.2
35,Erlin,2024-05-31 00:00,51,Moderate,220.0,0.14,0.5,8.6,13.2,24.0,11.0,0.7
34,Xianxi,2024-05-31 00:00,38,Good,221.0,0.17,1.1,3.7,20.0,21.0,4.0,0.6
33,Changhua,2024-05-31 00:00,36,Good,222.0,0.26,1.3,11.1,12.4,23.0,9.0,1.0
32,Xitun,2024-05-31 00:00,35,Good,223.0,0.28,1.4,16.0,5.5,28.0,11.0,1.0
31,Zhongming,2024-05-31 00:00,27,Good,224.0,0.27,1.0,9.3,12.0,20.0,8.0,0.9
30,Dali,2024-05-31 00:00,40,Good,225.0,0.28,0.8,8.2,9.7,23.0,12.0,1.2
29,Shalu,2024-05-31 00:00,35,Good,226.0,0.21,0.0,8.0,22.6,13.0,5.0,0.8
28,Fengyuan,2024-05-31 00:00,27,Good,227.0,0.2,0.8,4.6,21.4,15.0,5.0,0.4
27,Sanyi,2024-05-31 00:00,32,Good,228.0,0.15,0.9,1.5,23.7,11.0,7.0,0.5
26,Miaoli,2024-05-31 00:00,43,Good,229.0,0.21,1.0,6.8,25.8,24.0,17.0,1.4
25,Toufen,2024-05-31 00:00,39,Good,230.0,0.25,1.3,7.2,22.4,32.0,14.0,1.5
24,Hsinchu,2024-05-31 00:00,35,Good,231.0,0.28,0.8,9.6,31.6,23.0,13.0,1.2
23,Zhudong,2024-05-31 00:00,54,Moderate,232.0,0.25,0.8,6.3,8.6,29.0,17.0,0.4
22,Hukou,2024-05-31 00:00,53,Moderate,233.0,0.3,0.8,15.8,13.1,21.0,19.0,0.6
21,Longtan,2024-05-31 00:00,56,Moderate,234.0,0.39,0.8,19.3,7.5,28.0,19.0,1.0
20,Pingzhen,2024-05-31 00:00,40,Good,235.0,0.32,0.4,24.0,13.8,32.0,13.0,0.8
19,Guanyin,2024-05-31 00:00,30,Good,236.0,0.16,0.1,6.9,30.9,15.0,10.0,1.0
18,Dayuan,2024-05-31 00:00,41,Good,237.0,0.33,0.8,13.5,23.2,24.0,19.0,3.0
17,Taoyuan,2024-05-31 00:00,44,Good,238.0,0.27,0.3,8.9,32.5,21.0,13.0,1.3
16,Datong,2024-05-31 00:00,37,Good,239.0,1.39,33.6,20.0,1.8,26.0,12.0,1.2
15,Songshan,2024-05-31 00:00,48,Good,240.0,0.61,13.6,25.7,2.9,21.0,15.0,0.8
14,Guting,2024-05-31 00:00,28,Good,241.0,0.32,1.7,10.4,7.9,17.0,9.0,0.4
13,Wanhua,2024-05-31 00:00,39,Good,242.0,0.39,2.9,14.5,7.6,17.0,10.0,0.4
12,Zhongshan,2024-05-31 00:00,32,Good,243.0,0.49,2.4,16.6,5.3,17.0,9.0,0.6
11,Shilin,2024-05-31 00:00,38,Good,244.0,0.51,1.7,23.0,3.0,21.0,14.0,0.5
