siteid,sitename,datacreationdate,aqi,status,level_0,co,index,no,no2,o3,pm10,pm2.5,so2
2,Xizhi,2024-05-30 19:00,52,Moderate,168,0.44,168,3.6,15.0,8.9,27.0,15.0,4.0
1,Keelung,2024-05-30 19:00,27,Good,169,0.47,169,5.2,10.5,5.1,19.0,8.0,1.4
313,Pingtung（fangshan）,2024-05-30 18:00,33,Good,170,0.09,170,0.1,1.7,36.0,14.0,0.0,0.0
312,Taichung（Rilana Elementary）,2024-05-30 18:00,50,Good,171,0.1,171,0.3,7.3,43.4,32.0,3.0,0.6
311,New Taipei(Shulin),2024-05-30 18:00,49,Good,172,0.41,172,1.5,7.1,16.8,23.0,14.0,5.9
204,Pingtung（Liuqiu）,2024-05-30 18:00,27,Good,173,0.1,173,1.2,0.7,30.2,10.0,6.0,0.7
203,Tainan（Madou）,2024-05-30 18:00,32,Good,174,0.19,174,1.9,3.2,32.4,22.0,5.0,0.0
202,Kaohsiung（Hunei）,2024-05-30 18:00,26,Good,175,0.26,175,2.9,4.8,24.2,16.0,6.0,1.2
201,Changhua（Yuanlin）,2024-05-30 18:00,52,Moderate,176,0.39,176,5.8,8.4,25.8,22.0,8.0,1.8
85,Dacheng,2024-05-30 18:00,64,Moderate,177,0.09,177,0.5,4.1,43.0,18.0,4.0,1.0
84,FugueiCape,2024-05-30 18:00,44,Good,178,0.14,178,0.2,9.2,42.9,39.0,9.0,0.2
83,Mailiao,2024-05-30 18:00,49,Good,179,0.15,179,1.1,3.3,28.5,11.0,5.0,1.2
80,Guanshan,2024-05-30 18:00,30,Good,180,0.15,180,0.4,1.6,5.2,4.0,4.0,0.4
78,Magong,2024-05-30 18:00,42,Good,181,0.23,181,1.9,2.6,31.6,7.0,1.0,1.1
77,Kinmen,2024-05-30 18:00,72,Moderate,182,0.35,182,0.5,27.3,46.7,37.0,30.0,1.7
75,Matsu,2024-05-30 18:00,47,Good,183,0.18,183,0.5,5.4,50.5,24.0,11.0,0.9
72,Puli,2024-05-30 18:00,50,Good,184,0.25,184,1.5,2.1,38.6,20.0,10.0,1.0
71,Fuxing,2024-05-30 18:00,23,Good,185,0.33,185,3.1,4.0,22.1,15.0,1.0,1.8
70,Yonghe,2024-05-30 18:00,43,Good,186,0.89,186,7.4,4.6,18.8,11.0,9.0,0.7
69,Zhushan,2024-05-30 18:00,53,Moderate,187,0.16,187,0.8,4.7,31.8,10.0,6.0,1.2
68,Zhongli,2024-05-30 18:00,55,Moderate,188,1.14,188,27.7,23.0,12.8,27.0,20.0,1.7
67,Sanchong,2024-05-30 18:00,56,Moderate,189,1.21,189,50.4,15.1,11.6,22.0,12.0,0.8
66,Dongshan,2024-05-30 18:00,39,Good,190,0.26,190,2.3,4.8,35.0,23.0,6.0,0.5
65,Yilan,2024-05-30 18:00,44,Good,191,0.23,191,0.5,2.4,41.2,22.0,1.0,0.9
64,Yangming,2024-05-30 18:00,29,Good,192,0.15,192,0.7,2.3,30.2,10.0,7.0,0.9
63,Hualien,2024-05-30 18:00,33,Good,193,0.27,193,1.2,1.1,27.6,42.0,4.0,0.6
62,Taitung,2024-05-30 18:00,31,Good,194,0.34,194,2.9,2.8,25.3,7.0,3.0,0.2
61,Hengchun,2024-05-30 18:00,31,Good,195,0.1,195,0.7,0.6,34.7,20.0,4.0,0.6
60,Chaozhou,2024-05-30 18:00,29,Good,196,0.09,196,0.2,1.3,30.2,12.0,2.0,0.9
59,Pingtung,2024-05-30 18:00,28,Good,197,0.25,197,1.1,3.0,27.0,17.0,2.0,0.6
58,Xiaogang,2024-05-30 18:00,31,Good,198,0.44,198,2.2,6.8,24.1,19.0,6.0,5.4
57,Qianzhen,2024-05-30 18:00,27,Good,199,0.51,199,6.5,5.8,20.2,21.0,0.0,1.6
56,Qianjin,2024-05-30 18:00,23,Good,200,0.13,200,1.2,4.3,25.1,17.0,2.0,1.6
54,Zuoying,2024-05-30 18:00,32,Good,201,0.23,201,1.4,4.1,25.6,14.0,5.0,1.5
53,Nanzi,2024-05-30 18:00,24,Good,202,0.24,202,1.4,7.4,26.4,22.0,3.0,0.5
52,Linyuan,2024-05-30 18:00,31,Good,203,0.11,203,0.9,1.8,34.1,20.0,5.0,0.8
51,Daliao,2024-05-30 18:00,27,Good,204,0.12,204,0.9,3.1,29.0,17.0,4.0,0.3
50,Fengshan,2024-05-30 18:00,26,Good,205,0.43,205,1.7,1.5,25.5,25.0,0.0,1.6
49,Renwu,2024-05-30 18:00,29,Good,206,0.24,206,1.2,3.2,30.7,11.0,5.0,0.0
48,Qiaotou,2024-05-30 18:00,26,Good,207,0.35,207,1.0,3.5,24.2,14.0,0.0,1.5
47,Meinong,2024-05-30 18:00,33,Good,208,0.11,208,1.2,0.8,33.0,15.0,0.0,0.7
46,Tainan,2024-05-30 18:00,36,Good,209,0.28,209,1.1,5.3,31.6,21.0,6.0,1.5
45,Annan,2024-05-30 18:00,37,Good,210,0.29,210,3.3,5.7,29.3,26.0,6.0,0.8
44,Shanhua,2024-05-30 18:00,35,Good,211,0.11,211,1.3,2.1,33.4,18.0,3.0,0.8
43,Xinying,2024-05-30 18:00,42,Good,212,0.25,212,0.9,2.6,38.7,17.0,0.0,0.3
42,Chiayi,2024-05-30 18:00,45,Good,213,0.18,213,1.2,1.1,36.6,15.0,2.0,1.4
41,Taixi,2024-05-30 18:00,50,Good,214,0.11,214,1.3,3.8,31.5,17.0,3.0,1.4
40,Puzi,2024-05-30 18:00,37,Good,215,0.24,215,3.1,4.0,31.4,17.0,,1.1
39,Xingang,2024-05-30 18:00,45,Good,216,0.14,216,1.9,2.4,38.5,14.0,5.0,0.8
38,Lunbei,2024-05-30 18:00,43,Good,217,0.16,217,1.6,1.7,32.6,9.0,5.0,1.1
37,Douliu,2024-05-30 18:00,46,Good,218,0.21,218,1.8,7.9,30.7,10.0,5.0,1.6
36,Nantou,2024-05-30 18:00,50,Good,219,0.18,219,1.6,4.8,27.3,14.0,4.0,0.5
35,Erlin,2024-05-30 18:00,61,Moderate,220,0.14,220,1.8,7.3,43.7,17.0,13.0,0.9
34,Xianxi,2024-05-30 18:00,54,Moderate,221,0.18,221,1.6,9.1,43.7,20.0,8.0,1.3
33,Changhua,2024-05-30 18:00,77,Moderate,222,0.21,222,1.8,5.1,42.5,30.0,3.0,0.5
32,Xitun,2024-05-30 18:00,71,Moderate,223,0.18,223,0.9,6.5,42.9,28.0,8.0,1.2
31,Zhongming,2024-05-30 18:00,43,Good,224,0.28,224,1.3,6.5,35.8,23.0,9.0,1.3
30,Dali,2024-05-30 18:00,71,Moderate,225,0.35,225,1.1,4.6,35.2,21.0,3.0,1.8
29,Shalu,2024-05-30 18:00,67,Moderate,226,0.27,226,0.5,6.2,44.3,34.0,6.0,1.5
28,Fengyuan,2024-05-30 18:00,80,Moderate,227,0.27,227,2.5,3.6,43.4,24.0,2.0,0.9
27,Sanyi,2024-05-30 18:00,58,Moderate,228,0.25,228,1.3,1.5,46.7,36.0,4.0,1.4
26,Miaoli,2024-05-30 18:00,74,Moderate,229,0.22,229,1.3,11.0,46.2,23.0,10.0,2.0
25,Toufen,2024-05-30 18:00,58,Moderate,230,0.28,230,1.5,4.5,43.5,22.0,9.0,1.5
24,Hsinchu,2024-05-30 18:00,51,Moderate,231,0.31,231,0.9,9.4,45.2,15.0,9.0,1.7
23,Zhudong,2024-05-30 18:00,64,Moderate,232,0.29,232,0.6,4.6,37.2,24.0,16.0,0.4
22,Hukou,2024-05-30 18:00,52,Moderate,233,0.21,233,0.6,10.6,36.3,24.0,17.0,6.1
21,Longtan,2024-05-30 18:00,46,Good,234,0.39,234,0.7,15.8,30.2,31.0,18.0,1.7
20,Pingzhen,2024-05-30 18:00,39,Good,235,0.36,235,0.8,23.7,29.4,25.0,15.0,0.8
19,Guanyin,2024-05-30 18:00,40,Good,236,0.25,236,0.4,8.6,36.0,15.0,19.0,3.0
18,Dayuan,2024-05-30 18:00,38,Good,237,0.29,237,1.9,9.8,31.0,20.0,16.0,1.5
17,Taoyuan,2024-05-30 18:00,42,Good,238,0.49,238,2.0,20.0,21.5,25.0,22.0,3.9
16,Datong,2024-05-30 18:00,40,Good,239,1.33,239,15.5,13.3,18.8,17.0,12.0,1.2
15,Songshan,2024-05-30 18:00,35,Good,240,0.35,240,2.3,13.6,26.4,13.0,13.0,0.8
14,Guting,2024-05-30 18:00,38,Good,241,0.48,241,1.2,3.6,28.5,16.0,7.0,
13,Wanhua,2024-05-30 18:00,45,Good,242,0.63,242,2.1,8.8,23.5,18.0,6.0,0.7
