siteid,sitename,datacreationdate,aqi,status,pm2.5
203,Tainan（Madou）,2024-05-31 04:00,18,Good,5
202,Kaohsiung（Hunei）,2024-05-31 04:00,16,Good,4
201,Changhua（Yuanlin）,2024-05-31 04:00,36,Good,14
85,Dacheng,2024-05-31 04:00,15,Good,2
84,FugueiCape,2024-05-31 04:00,32,Good,15
83,Mailiao,2024-05-31 04:00,19,Good,3
80,Guanshan,2024-05-31 04:00,23,Good,5
78,Magong,2024-05-31 04:00,25,Good,1
77,Kinmen,2024-05-31 04:00,83,Moderate,32
75,Matsu,2024-05-31 04:00,40,Good,17
72,Puli,2024-05-31 04:00,30,Good,6
71,Fuxing,2024-05-31 04:00,18,Good,2
70,Yonghe,2024-05-31 04:00,41,Good,6
69,Zhushan,2024-05-31 04:00,26,Good,7
68,Zhongli,2024-05-31 04:00,54,Moderate,20
67,Sanchong,2024-05-31 04:00,39,Good,11
66,Dongshan,2024-05-31 04:00,25,Good,9
65,Yilan,2024-05-31 04:00,15,Good,0
64,Yangming,2024-05-31 04:00,28,Good,6
63,Hualien,2024-05-31 04:00,20,Good,4
62,Taitung,2024-05-31 04:00,18,Good,5
61,Hengchun,2024-05-31 04:00,25,Good,4
60,Chaozhou,2024-05-31 04:00,15,Good,2
59,Pingtung,2024-05-31 04:00,19,Good,2
58,Xiaogang,2024-05-31 04:00,31,Good,7
57,Qianzhen,2024-05-31 04:00,17,Good,0
56,Qianjin,2024-05-31 04:00,18,Good,1
54,Zuoying,2024-05-31 04:00,22,Good,4
53,Nanzi,2024-05-31 04:00,17,Good,3
52,Linyuan,2024-05-31 04:00,23,Good,4
51,Daliao,2024-05-31 04:00,19,Good,4
50,Fengshan,2024-05-31 04:00,20,Good,0
49,Renwu,2024-05-31 04:00,22,Good,3
48,Qiaotou,2024-05-31 04:00,18,Good,0
47,Meinong,2024-05-31 04:00,17,Good,0
46,Tainan,2024-05-31 04:00,25,Good,7
45,Annan,2024-05-31 04:00,24,Good,6
44,Shanhua,2024-05-31 04:00,21,Good,6
43,Xinying,2024-05-31 04:00,19,Good,0
42,Chiayi,2024-05-31 04:00,19,Good,1
41,Taixi,2024-05-31 04:00,19,Good,0
40,Puzi,2024-05-31 04:00,16,Good,
39,Xingang,2024-05-31 04:00,21,Good,5
38,Lunbei,2024-05-31 04:00,19,Good,5
37,Douliu,2024-05-31 04:00,23,Good,5
36,Nantou,2024-05-31 04:00,28,Good,3
35,Erlin,2024-05-31 04:00,42,Good,8
34,Xianxi,2024-05-31 04:00,27,Good,5
33,Changhua,2024-05-31 04:00,19,Good,3
32,Xitun,2024-05-31 04:00,26,Good,6
31,Zhongming,2024-05-31 04:00,25,Good,8
30,Dali,2024-05-31 04:00,24,Good,2
29,Shalu,2024-05-31 04:00,24,Good,5
28,Fengyuan,2024-05-31 04:00,18,Good,3
27,Sanyi,2024-05-31 04:00,23,Good,6
26,Miaoli,2024-05-31 04:00,40,Good,10
25,Toufen,2024-05-31 04:00,34,Good,9
24,Hsinchu,2024-05-31 04:00,32,Good,9
23,Zhudong,2024-05-31 04:00,53,Moderate,14
22,Hukou,2024-05-31 04:00,49,Good,13
21,Longtan,2024-05-31 04:00,57,Moderate,15
20,Pingzhen,2024-05-31 04:00,48,Good,21
19,Guanyin,2024-05-31 04:00,39,Good,17
18,Dayuan,2024-05-31 04:00,48,Good,15
17,Taoyuan,2024-05-31 04:00,53,Moderate,19
16,Datong,2024-05-31 04:00,39,Good,12
15,Songshan,2024-05-31 04:00,42,Good,9
14,Guting,2024-05-31 04:00,24,Good,7
13,Wanhua,2024-05-31 04:00,30,Good,8
12,Zhongshan,2024-05-31 04:00,29,Good,5
11,Shilin,2024-05-31 04:00,41,Good,17
10,Tamsui,2024-05-31 04:00,37,Good,14
9,Linkou,2024-05-31 04:00,37,Good,12
8,Cailiao,2024-05-31 04:00,34,Good,8
7,Xinzhuang,2024-05-31 04:00,55,Moderate,20
6,Banqiao,2024-05-31 04:00,39,Good,12
5,Tucheng,2024-05-31 04:00,55,Moderate,20
4,Xindian,2024-05-31 04:00,37,Good,12
3,Wanli,2024-05-31 04:00,23,Good,6
2,Xizhi,2024-05-31 04:00,44,Good,15
1,Keelung,2024-05-31 04:00,24,Good,8
313,Pingtung（fangshan）,2024-05-31 03:00,23,Good,0
312,Taichung（Rilana Elementary）,2024-05-31 03:00,22,Good,3
311,New Taipei(Shulin),2024-05-31 03:00,51,Moderate,14
204,Pingtung（Liuqiu）,2024-05-31 03:00,24,Good,6
203,Tainan（Madou）,2024-05-31 03:00,17,Good,5
202,Kaohsiung（Hunei）,2024-05-31 03:00,18,Good,6
201,Changhua（Yuanlin）,2024-05-31 03:00,35,Good,8
85,Dacheng,2024-05-31 03:00,16,Good,4
84,FugueiCape,2024-05-31 03:00,27,Good,9
83,Mailiao,2024-05-31 03:00,21,Good,5
80,Guanshan,2024-05-31 03:00,23,Good,4
78,Magong,2024-05-31 03:00,26,Good,1
77,Kinmen,2024-05-31 03:00,81,Moderate,30
75,Matsu,2024-05-31 03:00,37,Good,11
72,Puli,2024-05-31 03:00,33,Good,10
71,Fuxing,2024-05-31 03:00,18,Good,1
70,Yonghe,2024-05-31 03:00,57,Moderate,9
69,Zhushan,2024-05-31 03:00,25,Good,6
68,Zhongli,2024-05-31 03:00,53,Moderate,20
67,Sanchong,2024-05-31 03:00,39,Good,12
66,Dongshan,2024-05-31 03:00,24,Good,6
65,Yilan,2024-05-31 03:00,17,Good,1
64,Yangming,2024-05-31 03:00,26,Good,7
63,Hualien,2024-05-31 03:00,20,Good,4
62,Taitung,2024-05-31 03:00,17,Good,3
61,Hengchun,2024-05-31 03:00,25,Good,4
60,Chaozhou,2024-05-31 03:00,16,Good,2
59,Pingtung,2024-05-31 03:00,20,Good,2
58,Xiaogang,2024-05-31 03:00,31,Good,6
57,Qianzhen,2024-05-31 03:00,17,Good,0
56,Qianjin,2024-05-31 03:00,18,Good,2
54,Zuoying,2024-05-31 03:00,26,Good,5
53,Nanzi,2024-05-31 03:00,18,Good,3
52,Linyuan,2024-05-31 03:00,26,Good,5
51,Daliao,2024-05-31 03:00,21,Good,4
