siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2,co,pm10
19,Guanyin,2024-05-31 01:00,30,Good,31.9,4.9,7,0.2,0.8,0.14,18
18,Dayuan,2024-05-31 01:00,41,Good,22.6,11.2,11,1.2,1.4,0.33,25
17,Taoyuan,2024-05-31 01:00,43,Good,22.3,12,11,0.5,1.4,0.33,25
16,Datong,2024-05-31 01:00,37,Good,3.9,16.3,10,10.1,0.8,0.83,20
15,Songshan,2024-05-31 01:00,46,Good,4.5,21.2,12,4.9,0.5,0.49,18
14,Guting,2024-05-31 01:00,27,Good,8.3,6.7,8,1.2,1.9,0.24,15
13,Wanhua,2024-05-31 01:00,39,Good,8.1,10.9,9,1.3,0.3,0.33,14
12,Zhongshan,2024-05-31 01:00,33,Good,8.2,13.3,11,1.1,0.6,0.37,8
11,Shilin,2024-05-31 01:00,38,Good,4.4,23.4,12,1.4,0.6,0.43,25
10,Tamsui,2024-05-31 01:00,36,Good,11.8,11.5,10,1.2,0.9,0.35,22
9,Linkou,2024-05-31 01:00,30,Good,18.9,,9,,3.1,0.27,25
8,Cailiao,2024-05-31 01:00,33,Good,7.8,18.3,13,1.4,1,0.46,21
7,Xinzhuang,2024-05-31 01:00,50,Good,8.7,20.4,22,1.1,0.9,0.57,23
6,Banqiao,2024-05-31 01:00,42,Good,2.9,25,13,2.7,0.9,0.55,28
5,Tucheng,2024-05-31 01:00,59,Moderate,4,20.4,19,2.6,0.2,0.47,32
4,Xindian,2024-05-31 01:00,36,Good,8.6,5,12,1.3,0.8,0.23,28
3,Wanli,2024-05-31 01:00,28,Good,6.8,6.1,9,1.1,0,0.28,27
2,Xizhi,2024-05-31 01:00,44,Good,0.4,18.7,13,14.9,1.7,0.48,25
1,Keelung,2024-05-31 01:00,28,Good,0.7,17.5,7,10.6,1,0.48,29
313,Pingtung（fangshan）,2024-05-31 00:00,27,Good,31.2,1,3,0,0,0.08,22
312,Taichung（Rilana Elementary）,2024-05-31 00:00,31,Good,21.5,8.6,7,2.2,0.1,0.05,13
311,New Taipei(Shulin),2024-05-31 00:00,54,Moderate,4.6,13.1,16,2,0.9,0.39,26
204,Pingtung（Liuqiu）,2024-05-31 00:00,26,Good,25.8,0.7,6,1.1,0.5,0.06,11
203,Tainan（Madou）,2024-05-31 00:00,22,Good,15.4,13,3,0.8,0.5,0.15,14
202,Kaohsiung（Hunei）,2024-05-31 00:00,17,Good,14.4,8.5,6,1.3,1.1,0.26,13
201,Changhua（Yuanlin）,2024-05-31 00:00,44,Good,14.7,9.2,11,0.5,1.8,0.25,24
85,Dacheng,2024-05-31 00:00,25,Good,13.7,5.8,6,0,0.8,0.12,16
84,FugueiCape,2024-05-31 00:00,31,Good,27.1,5.5,8,0.1,0.5,0.17,30
83,Mailiao,2024-05-31 00:00,24,Good,15.6,7.4,7,0.7,1.4,0.18,22
80,Guanshan,2024-05-31 00:00,15,Good,6.5,1.9,2,0.4,0.4,0.12,31
78,Magong,2024-05-31 00:00,27,Good,29.2,3.8,1,1,1.1,0.1,5
