siteid,sitename,datacreationdate,aqi,status,no2,pm2.5,o3,co,pm10,no,so2
72,Puli,2024-05-30 18:00,50,Good,,,38.6,0.25,20.0,1.5,1.0
71,Fuxing,2024-05-30 18:00,23,Good,,,22.1,0.33,15.0,3.1,1.8
70,Yonghe,2024-05-30 18:00,43,Good,,,18.8,0.89,11.0,7.4,0.7
69,Zhushan,2024-05-30 18:00,53,Moderate,,,31.8,0.16,10.0,0.8,1.2
68,Zhongli,2024-05-30 18:00,55,Moderate,,,12.8,1.14,27.0,27.7,1.7
67,Sanchong,2024-05-30 18:00,56,Moderate,,,11.6,1.21,22.0,50.4,0.8
66,Dongshan,2024-05-30 18:00,39,Good,,,35.0,0.26,23.0,2.3,0.5
65,Yilan,2024-05-30 18:00,44,Good,,,41.2,0.23,22.0,0.5,0.9
64,Yangming,2024-05-30 18:00,29,Good,,,30.2,0.15,10.0,0.7,0.9
63,Hualien,2024-05-30 18:00,33,Good,,,27.6,0.27,42.0,1.2,0.6
62,Taitung,2024-05-30 18:00,31,Good,,,25.3,0.34,7.0,2.9,0.2
61,Hengchun,2024-05-30 18:00,31,Good,,,34.7,0.1,20.0,0.7,0.6
60,Chaozhou,2024-05-30 18:00,29,Good,,,30.2,0.09,12.0,0.2,0.9
59,Pingtung,2024-05-30 18:00,28,Good,,,27.0,0.25,17.0,1.1,0.6
58,Xiaogang,2024-05-30 18:00,31,Good,,,24.1,0.44,19.0,2.2,5.4
57,Qianzhen,2024-05-30 18:00,27,Good,,,20.2,0.51,21.0,6.5,1.6
56,Qianjin,2024-05-30 18:00,23,Good,,,25.1,0.13,17.0,1.2,1.6
54,Zuoying,2024-05-30 18:00,32,Good,,,25.6,0.23,14.0,1.4,1.5
53,Nanzi,2024-05-30 18:00,24,Good,,,26.4,0.24,22.0,1.4,0.5
52,Linyuan,2024-05-30 18:00,31,Good,,,34.1,0.11,20.0,0.9,0.8
51,Daliao,2024-05-30 18:00,27,Good,,,29.0,0.12,17.0,0.9,0.3
50,Fengshan,2024-05-30 18:00,26,Good,,,25.5,0.43,25.0,1.7,1.6
