siteid,sitename,datacreationdate,aqi,status,o3,co,pm10,no,so2
28,Fengyuan,2024-05-30 19:00,71,Moderate,35.2,0.22,20,1,0.8
27,Sanyi,2024-05-30 19:00,51,Moderate,37.7,0.19,18,1.2,0.8
26,Miaoli,2024-05-30 19:00,67,Moderate,40.4,0.22,20,1,1.2
25,Toufen,2024-05-30 19:00,50,Good,39.4,0.27,26,1.5,1.3
24,Hsinchu,2024-05-30 19:00,47,Good,35.7,0.34,23,0.7,3.9
23,Zhudong,2024-05-30 19:00,58,Moderate,30.1,0.31,21,0.5,0.1
22,Hukou,2024-05-30 19:00,54,Moderate,33.9,0.24,24,0.8,6.7
21,Longtan,2024-05-30 19:00,49,Good,35.4,0.32,25,0.4,1.4
20,Pingzhen,2024-05-30 19:00,38,Good,23.6,0.35,28,0.2,0.7
19,Guanyin,2024-05-30 19:00,51,Moderate,31.8,0.22,21,0.5,21.4
18,Dayuan,2024-05-30 19:00,36,Good,26,0.36,28,1.8,2.1
17,Taoyuan,2024-05-30 19:00,52,Moderate,12,0.49,29,1.9,2
16,Datong,2024-05-30 19:00,48,Good,14,1.41,21,20.6,1.8
15,Songshan,2024-05-30 19:00,36,Good,17.5,0.47,13,6.1,0.2
14,Guting,2024-05-30 19:00,38,Good,24.8,0.45,11,1.6,0.4
13,Wanhua,2024-05-30 19:00,42,Good,21.2,0.64,21,1.7,0.6
12,Zhongshan,2024-05-30 19:00,52,Moderate,11.4,0.84,14,13.7,1
11,Shilin,2024-05-30 19:00,35,Good,21,0.35,23,1.1,0.5
10,Tamsui,2024-05-30 19:00,42,Good,21.2,0.26,27,2.5,2.9
9,Linkou,2024-05-30 19:00,40,Good,36.3,0.18,13,0.6,0.9
8,Cailiao,2024-05-30 19:00,38,Good,25.6,0.48,18,1.1,0.9
7,Xinzhuang,2024-05-30 19:00,40,Good,18.7,0.55,13,3.3,0.7
6,Banqiao,2024-05-30 19:00,41,Good,24.1,0.55,17,1.3,1
5,Tucheng,2024-05-30 19:00,51,Moderate,16.3,0.65,28,1.5,2.3
4,Xindian,2024-05-30 19:00,42,Good,27.4,0.39,13,1.6,0.6
3,Wanli,2024-05-30 19:00,39,Good,18.9,0.29,27,1.6,0.4
2,Xizhi,2024-05-30 19:00,52,Moderate,8.9,0.44,27,3.6,4
1,Keelung,2024-05-30 19:00,27,Good,5.1,0.47,19,5.2,1.4
313,Pingtung（fangshan）,2024-05-30 18:00,33,Good,36,0.09,14,0.1,0
312,Taichung（Rilana Elementary）,2024-05-30 18:00,50,Good,43.4,0.1,32,0.3,0.6
311,New Taipei(Shulin),2024-05-30 18:00,49,Good,16.8,0.41,23,1.5,5.9
204,Pingtung（Liuqiu）,2024-05-30 18:00,27,Good,30.2,0.1,10,1.2,0.7
203,Tainan（Madou）,2024-05-30 18:00,32,Good,32.4,0.19,22,1.9,0
202,Kaohsiung（Hunei）,2024-05-30 18:00,26,Good,24.2,0.26,16,2.9,1.2
201,Changhua（Yuanlin）,2024-05-30 18:00,52,Moderate,25.8,0.39,22,5.8,1.8
85,Dacheng,2024-05-30 18:00,64,Moderate,43,0.09,18,0.5,1
84,FugueiCape,2024-05-30 18:00,44,Good,42.9,0.14,39,0.2,0.2
83,Mailiao,2024-05-30 18:00,49,Good,28.5,0.15,11,1.1,1.2
80,Guanshan,2024-05-30 18:00,30,Good,,0.15,4,0.4,0.4
78,Magong,2024-05-30 18:00,42,Good,31.6,0.23,7,1.9,1.1
77,Kinmen,2024-05-30 18:00,72,Moderate,46.7,0.35,37,0.5,1.7
75,Matsu,2024-05-30 18:00,47,Good,50.5,0.18,24,0.5,0.9
72,Puli,2024-05-30 18:00,50,Good,38.6,0.25,20,1.5,1
71,Fuxing,2024-05-30 18:00,23,Good,22.1,0.33,15,3.1,1.8
70,Yonghe,2024-05-30 18:00,43,Good,18.8,0.89,11,7.4,0.7
69,Zhushan,2024-05-30 18:00,53,Moderate,31.8,0.16,10,0.8,1.2
68,Zhongli,2024-05-30 18:00,55,Moderate,12.8,1.14,27,27.7,1.7
67,Sanchong,2024-05-30 18:00,56,Moderate,11.6,1.21,22,50.4,0.8
66,Dongshan,2024-05-30 18:00,39,Good,35,0.26,23,2.3,0.5
65,Yilan,2024-05-30 18:00,44,Good,41.2,0.23,22,0.5,0.9
64,Yangming,2024-05-30 18:00,29,Good,30.2,0.15,10,0.7,0.9
63,Hualien,2024-05-30 18:00,33,Good,27.6,0.27,42,1.2,0.6
62,Taitung,2024-05-30 18:00,31,Good,25.3,0.34,7,2.9,0.2
61,Hengchun,2024-05-30 18:00,31,Good,34.7,0.1,20,0.7,0.6
60,Chaozhou,2024-05-30 18:00,29,Good,30.2,0.09,12,0.2,0.9
59,Pingtung,2024-05-30 18:00,28,Good,27,0.25,17,1.1,0.6
58,Xiaogang,2024-05-30 18:00,31,Good,24.1,0.44,19,2.2,5.4
57,Qianzhen,2024-05-30 18:00,27,Good,20.2,0.51,21,6.5,1.6
56,Qianjin,2024-05-30 18:00,23,Good,25.1,0.13,17,1.2,1.6
54,Zuoying,2024-05-30 18:00,32,Good,25.6,0.23,14,1.4,1.5
53,Nanzi,2024-05-30 18:00,24,Good,26.4,0.24,22,1.4,0.5
52,Linyuan,2024-05-30 18:00,31,Good,34.1,0.11,20,0.9,0.8
51,Daliao,2024-05-30 18:00,27,Good,29,0.12,17,0.9,0.3
50,Fengshan,2024-05-30 18:00,26,Good,25.5,0.43,25,1.7,1.6
49,Renwu,2024-05-30 18:00,29,Good,30.7,0.24,11,1.2,0
48,Qiaotou,2024-05-30 18:00,26,Good,24.2,0.35,14,1,1.5
47,Meinong,2024-05-30 18:00,33,Good,33,0.11,15,1.2,0.7
46,Tainan,2024-05-30 18:00,36,Good,31.6,0.28,21,1.1,1.5
45,Annan,2024-05-30 18:00,37,Good,29.3,0.29,26,3.3,0.8
44,Shanhua,2024-05-30 18:00,35,Good,33.4,0.11,18,1.3,0.8
43,Xinying,2024-05-30 18:00,42,Good,38.7,0.25,17,0.9,0.3
42,Chiayi,2024-05-30 18:00,45,Good,36.6,0.18,15,1.2,1.4
41,Taixi,2024-05-30 18:00,50,Good,31.5,0.11,17,1.3,1.4
40,Puzi,2024-05-30 18:00,37,Good,31.4,0.24,17,3.1,1.1
39,Xingang,2024-05-30 18:00,45,Good,38.5,0.14,14,1.9,0.8
38,Lunbei,2024-05-30 18:00,43,Good,32.6,0.16,9,1.6,1.1
37,Douliu,2024-05-30 18:00,46,Good,30.7,0.21,10,1.8,1.6
36,Nantou,2024-05-30 18:00,50,Good,27.3,0.18,14,1.6,0.5
35,Erlin,2024-05-30 18:00,61,Moderate,43.7,0.14,17,1.8,0.9
34,Xianxi,2024-05-30 18:00,54,Moderate,43.7,0.18,20,1.6,1.3
33,Changhua,2024-05-30 18:00,77,Moderate,42.5,0.21,30,1.8,0.5
32,Xitun,2024-05-30 18:00,71,Moderate,42.9,0.18,28,0.9,1.2
31,Zhongming,2024-05-30 18:00,43,Good,35.8,0.28,23,1.3,1.3
30,Dali,2024-05-30 18:00,71,Moderate,35.2,0.35,21,1.1,1.8
29,Shalu,2024-05-30 18:00,67,Moderate,44.3,0.27,34,0.5,1.5
28,Fengyuan,2024-05-30 18:00,80,Moderate,43.4,0.27,24,2.5,0.9
27,Sanyi,2024-05-30 18:00,58,Moderate,46.7,0.25,36,1.3,1.4
26,Miaoli,2024-05-30 18:00,74,Moderate,46.2,0.22,23,1.3,2
25,Toufen,2024-05-30 18:00,58,Moderate,43.5,0.28,22,1.5,1.5
24,Hsinchu,2024-05-30 18:00,51,Moderate,45.2,0.31,15,0.9,1.7
23,Zhudong,2024-05-30 18:00,64,Moderate,37.2,0.29,24,0.6,0.4
22,Hukou,2024-05-30 18:00,52,Moderate,36.3,0.21,24,0.6,6.1
21,Longtan,2024-05-30 18:00,46,Good,30.2,0.39,31,0.7,1.7
20,Pingzhen,2024-05-30 18:00,39,Good,29.4,0.36,25,0.8,0.8
19,Guanyin,2024-05-30 18:00,40,Good,36,0.25,15,0.4,3
18,Dayuan,2024-05-30 18:00,38,Good,31,0.29,20,1.9,1.5
17,Taoyuan,2024-05-30 18:00,42,Good,21.5,0.49,25,2,3.9
16,Datong,2024-05-30 18:00,40,Good,18.8,1.33,17,15.5,1.2
15,Songshan,2024-05-30 18:00,35,Good,26.4,0.35,13,2.3,0.8
14,Guting,2024-05-30 18:00,38,Good,28.5,0.48,16,1.2,
13,Wanhua,2024-05-30 18:00,45,Good,23.5,0.63,18,2.1,0.7
12,Zhongshan,2024-05-30 18:00,38,Good,20.9,0.59,16,6.8,1.3
11,Shilin,2024-05-30 18:00,36,Good,28.3,0.27,14,1.5,0.2
10,Tamsui,2024-05-30 18:00,37,Good,24.5,0.19,34,2.8,2.3
9,Linkou,2024-05-30 18:00,41,Good,39.9,0.15,7,0.9,1
8,Cailiao,2024-05-30 18:00,39,Good,30.8,0.37,12,1,1.1
7,Xinzhuang,2024-05-30 18:00,42,Good,27.6,0.36,20,1.8,0.5
6,Banqiao,2024-05-30 18:00,43,Good,27.2,0.52,24,1.7,1
5,Tucheng,2024-05-30 18:00,51,Moderate,29.1,0.52,34,1.2,1.4
4,Xindian,2024-05-30 18:00,44,Good,30.5,0.43,14,1.8,0.7
3,Wanli,2024-05-30 18:00,45,Good,36.4,0.25,40,1.1,0.5
2,Xizhi,2024-05-30 18:00,48,Good,14.4,0.43,23,3.9,5.3
1,Keelung,2024-05-30 18:00,28,Good,15.3,0.4,12,2.3,1.4
