pm10,o3,co,no2,no,so2,siteid,sitename,datacreationdate,aqi,status,pm2.5
37.0,7.7,0.25,5.5,0.5,0.2,23,Zhudong,2024-05-31 01:00,53,Moderate,
23.0,21.5,0.24,7.8,0.6,0.5,22,Hukou,2024-05-31 01:00,50,Good,
44.0,0.5,0.43,24.2,5.1,0.9,21,Longtan,2024-05-31 01:00,57,Moderate,
46.0,14.4,0.31,24.2,0.0,0.8,20,Pingzhen,2024-05-31 01:00,40,Good,
18.0,31.9,0.14,4.9,0.2,0.8,19,Guanyin,2024-05-31 01:00,30,Good,
25.0,22.6,0.33,11.2,1.2,1.4,18,Dayuan,2024-05-31 01:00,41,Good,
25.0,22.3,0.33,12.0,0.5,1.4,17,Taoyuan,2024-05-31 01:00,43,Good,
20.0,3.9,0.83,16.3,10.1,0.8,16,Datong,2024-05-31 01:00,37,Good,
18.0,4.5,0.49,21.2,4.9,0.5,15,Songshan,2024-05-31 01:00,46,Good,
15.0,8.3,0.24,6.7,1.2,1.9,14,Guting,2024-05-31 01:00,27,Good,
14.0,8.1,0.33,10.9,1.3,0.3,13,Wanhua,2024-05-31 01:00,39,Good,
8.0,8.2,0.37,13.3,1.1,0.6,12,Zhongshan,2024-05-31 01:00,33,Good,
25.0,4.4,0.43,23.4,1.4,0.6,11,Shilin,2024-05-31 01:00,38,Good,
22.0,11.8,0.35,11.5,1.2,0.9,10,Tamsui,2024-05-31 01:00,36,Good,
25.0,18.9,0.27,,,3.1,9,Linkou,2024-05-31 01:00,30,Good,
21.0,7.8,0.46,18.3,1.4,1.0,8,Cailiao,2024-05-31 01:00,33,Good,
23.0,8.7,0.57,20.4,1.1,0.9,7,Xinzhuang,2024-05-31 01:00,50,Good,
28.0,2.9,0.55,25.0,2.7,0.9,6,Banqiao,2024-05-31 01:00,42,Good,
32.0,4.0,0.47,20.4,2.6,0.2,5,Tucheng,2024-05-31 01:00,59,Moderate,
28.0,8.6,0.23,5.0,1.3,0.8,4,Xindian,2024-05-31 01:00,36,Good,
27.0,6.8,0.28,6.1,1.1,0.0,3,Wanli,2024-05-31 01:00,28,Good,
25.0,0.4,0.48,18.7,14.9,1.7,2,Xizhi,2024-05-31 01:00,44,Good,
29.0,0.7,0.48,17.5,10.6,1.0,1,Keelung,2024-05-31 01:00,28,Good,
22.0,31.2,0.08,1.0,0.0,0.0,313,Pingtung（fangshan）,2024-05-31 00:00,27,Good,
13.0,21.5,0.05,8.6,2.2,0.1,312,Taichung（Rilana Elementary）,2024-05-31 00:00,31,Good,
26.0,4.6,0.39,13.1,2.0,0.9,311,New Taipei(Shulin),2024-05-31 00:00,54,Moderate,
11.0,25.8,0.06,0.7,1.1,0.5,204,Pingtung（Liuqiu）,2024-05-31 00:00,26,Good,
14.0,15.4,0.15,13.0,0.8,0.5,203,Tainan（Madou）,2024-05-31 00:00,22,Good,
13.0,14.4,0.26,8.5,1.3,1.1,202,Kaohsiung（Hunei）,2024-05-31 00:00,17,Good,
24.0,14.7,0.25,9.2,0.5,1.8,201,Changhua（Yuanlin）,2024-05-31 00:00,44,Good,
16.0,13.7,0.12,5.8,0.0,0.8,85,Dacheng,2024-05-31 00:00,25,Good,
30.0,27.1,0.17,5.5,0.1,0.5,84,FugueiCape,2024-05-31 00:00,31,Good,
22.0,15.6,0.18,7.4,0.7,1.4,83,Mailiao,2024-05-31 00:00,24,Good,
31.0,6.5,0.12,1.9,0.4,0.4,80,Guanshan,2024-05-31 00:00,15,Good,
5.0,29.2,0.1,3.8,1.0,1.1,78,Magong,2024-05-31 00:00,27,Good,
29.0,9.8,0.34,19.3,1.0,1.8,77,Kinmen,2024-05-31 00:00,73,Moderate,
19.0,24.1,0.21,16.0,0.8,1.3,75,Matsu,2024-05-31 00:00,39,Good,
26.0,7.1,0.21,5.6,1.6,0.9,72,Puli,2024-05-31 00:00,36,Good,
7.0,20.1,0.12,8.3,1.5,0.7,71,Fuxing,2024-05-31 00:00,19,Good,
,8.2,0.39,8.8,3.2,0.7,70,Yonghe,2024-05-31 00:00,58,Moderate,
25.0,5.2,0.13,4.6,0.7,0.7,69,Zhushan,2024-05-31 00:00,36,Good,
25.0,13.6,0.6,22.8,4.7,1.8,68,Zhongli,2024-05-31 00:00,47,Good,
21.0,2.2,0.86,26.6,30.9,0.8,67,Sanchong,2024-05-31 00:00,43,Good,
19.0,12.2,0.26,2.7,0.6,0.3,66,Dongshan,2024-05-31 00:00,24,Good,
18.0,11.6,0.19,3.0,0.5,0.5,65,Yilan,2024-05-31 00:00,27,Good,
12.0,34.1,0.17,2.3,0.6,0.8,64,Yangming,2024-05-31 00:00,25,Good,
9.0,17.2,0.18,2.2,0.4,0.4,63,Hualien,2024-05-31 00:00,26,Good,
