siteid,datacreationdate,aqi,status,pm2.5,no2,so2,o3,co,pm10,no
58,2024-05-27 05:00,31,Good,6,7.2,0.1,3,0.12,12,1.3
57,2024-05-27 05:00,21,Good,3,8.1,1.1,4.2,0.14,14,1
56,2024-05-27 05:00,18,Good,3,8.9,0.6,3.3,0.25,16,0.5
54,2024-05-27 05:00,29,Good,9,7.6,1,4.8,0.16,9,0.9
53,2024-05-27 05:00,20,Good,4,9.6,1,1.7,0.14,18,3
52,2024-05-27 05:00,25,Good,8,6.6,0.5,1.2,0.14,21,0.6
51,2024-05-27 05:00,22,Good,3,7.5,4.5,1.5,0.12,20,3.2
50,2024-05-27 05:00,19,Good,3,4.7,1.2,6.7,0.15,16,1
49,2024-05-27 05:00,29,Good,11,7.9,2.6,3.6,0.14,22,0.2
48,2024-05-27 05:00,24,Good,7,7.1,1.8,2.2,0.1,15,2
47,2024-05-27 05:00,13,Good,2,3.6,1,4,0.12,11,0.6
46,2024-05-27 05:00,40,Good,14,7.3,0.8,7.6,0.12,14,0.8
45,2024-05-27 05:00,38,Good,7,7.1,0.2,3.9,0.16,18,1.5
44,2024-05-27 05:00,25,Good,6,3.7,0.6,7,0.08,18,1.1
43,2024-05-27 05:00,31,Good,4,3.6,0.5,4.6,0.13,22,1.7
42,2024-05-27 05:00,28,Good,6,4.9,1.3,9.1,0.13,18,0.7
41,2024-05-27 05:00,57,Moderate,17,13.2,1,1.9,0.3,34,1.2
40,2024-05-27 05:00,55,Moderate,12,14.5,1.4,0,0.23,29,5.4
39,2024-05-27 05:00,58,Moderate,10,8.4,0.7,0,0.2,27,1.7
38,2024-05-27 05:00,63,Moderate,18,8.7,1.3,0.4,0.33,31,2.9
37,2024-05-27 05:00,48,Good,8,6.9,0.9,9.4,0.15,24,1
36,2024-05-27 05:00,60,Moderate,10,5.3,0.4,4.1,0.17,34,1.2
35,2024-05-27 05:00,65,Moderate,22,7.9,0.2,2.2,0.25,41,2.2
34,2024-05-27 05:00,54,Moderate,25,14.3,1,1.8,0.34,39,1.1
33,2024-05-27 05:00,56,Moderate,16,9.1,2.1,6.1,0.23,25,1.5
32,2024-05-27 05:00,67,Moderate,22,7.4,1,8.3,0.25,42,0.6
31,2024-05-27 05:00,56,Moderate,18,6.8,0.9,9.9,0.3,31,1.4
30,2024-05-27 05:00,69,Moderate,24,6,1,7.7,0.26,29,0.7
29,2024-05-27 05:00,65,Moderate,21,6.5,0.4,15.3,0.24,32,0.5
28,2024-05-27 05:00,58,Moderate,14,4.9,1.2,14.3,0.22,19,0.9
27,2024-05-27 05:00,56,Moderate,9,2.6,0.7,14.8,0.17,20,0.9
26,2024-05-27 05:00,59,Moderate,19,5.2,0.7,6.1,0.2,23,1.9
25,2024-05-27 05:00,53,Moderate,18,4.6,0.8,6.3,0.21,26,1.3
24,2024-05-27 05:00,47,Good,16,9.2,0.1,4.4,0.28,27,1.3
23,2024-05-27 05:00,52,Moderate,14,3.6,1.2,6.4,0.18,25,0.6
22,2024-05-27 05:00,65,Moderate,25,9.9,0.8,11,0.23,27,1.4
21,2024-05-27 05:00,54,Moderate,11,6.9,0.7,9.7,0.2,23,1
20,2024-05-27 05:00,52,Moderate,14,6.7,0,11.6,0.23,22,0.8
19,2024-05-27 05:00,69,Moderate,25,13,0.3,3.6,0.32,31,0.9
18,2024-05-27 05:00,62,Moderate,16,20.4,0.6,1.5,0.39,38,3.9
17,2024-05-27 05:00,54,Moderate,21,16.6,5.9,2.2,0.5,35,2
16,2024-05-27 05:00,41,Good,8,6.7,0.4,5.5,0.33,23,3.7
15,2024-05-27 05:00,38,Good,12,10,0.5,3.4,0.36,23,1.8
14,2024-05-27 05:00,20,Good,7,4.2,0.8,4.6,0.16,16,1.1
13,2024-05-27 05:00,31,Good,5,5.9,0.2,5.8,0.22,21,1.2
12,2024-05-27 05:00,35,Good,6,8.7,0.2,6.4,0.27,20,0.9
11,2024-05-27 05:00,41,Good,6,7.7,0.7,2.6,0.25,15,0.9
10,2024-05-27 05:00,44,Good,13,16.6,0.1,0.7,0.5,24,2.6
