siteid,sitename,datacreationdate,aqi,status,pm2.5_x,pm2.5_y,no2,o3,co,pm10,no,so2
42,Chiayi,2024-05-30 16:00,49,Good,0.0,0.0,3.6,30.3,0.13,8.0,1.3,1.3
41,Taixi,2024-05-30 16:00,58,Moderate,11.0,11.0,3.7,50.6,0.14,58.0,1.4,1.6
40,Puzi,2024-05-30 16:00,40,Good,,,6.3,26.1,0.22,15.0,3.2,0.9
39,Xingang,2024-05-30 16:00,49,Good,7.0,7.0,4.1,32.0,0.15,11.0,2.4,0.8
38,Lunbei,2024-05-30 16:00,48,Good,8.0,8.0,2.7,30.5,0.14,13.0,1.8,0.8
37,Douliu,2024-05-30 16:00,51,Moderate,4.0,4.0,4.4,29.0,0.17,20.0,1.5,1.4
36,Nantou,2024-05-30 16:00,64,Moderate,16.0,16.0,7.6,54.3,0.22,32.0,1.2,0.8
35,Erlin,2024-05-30 16:00,64,Moderate,16.0,16.0,1.8,52.2,0.15,34.0,1.6,1.1
34,Xianxi,2024-05-30 16:00,54,Moderate,14.0,14.0,1.5,54.6,0.23,39.0,1.7,1.0
33,Changhua,2024-05-30 16:00,80,Moderate,12.0,12.0,7.2,58.3,0.18,47.0,1.9,1.3
32,Xitun,2024-05-30 16:00,74,Moderate,21.0,21.0,10.4,56.5,0.32,43.0,1.3,3.8
31,Zhongming,2024-05-30 16:00,44,Good,14.0,14.0,13.7,50.4,0.37,42.0,1.7,3.8
30,Dali,2024-05-30 16:00,87,Moderate,21.0,21.0,10.5,60.7,0.28,42.0,0.5,3.0
29,Shalu,2024-05-30 16:00,67,Moderate,19.0,19.0,7.7,52.4,0.35,48.0,0.5,2.8
28,Fengyuan,2024-05-30 16:00,77,Moderate,20.0,20.0,6.3,60.9,0.23,47.0,0.9,1.4
27,Sanyi,2024-05-30 16:00,50,Good,16.0,16.0,5.9,52.9,0.21,36.0,1.5,1.7
26,Miaoli,2024-05-30 16:00,61,Moderate,17.0,17.0,3.7,57.7,0.17,19.0,1.2,1.4
25,Toufen,2024-05-30 16:00,50,Good,10.0,10.0,2.0,45.9,0.18,24.0,1.8,1.3
24,Hsinchu,2024-05-30 16:00,45,Good,15.0,15.0,6.3,40.1,0.24,17.0,1.3,0.6
23,Zhudong,2024-05-30 16:00,60,Moderate,17.0,17.0,8.1,51.1,0.23,24.0,0.6,0.5
22,Hukou,2024-05-30 16:00,54,Moderate,13.0,13.0,2.6,48.2,0.18,17.0,0.6,
21,Longtan,2024-05-30 16:00,48,Good,16.0,16.0,13.2,49.8,0.28,26.0,0.2,1.6
20,Pingzhen,2024-05-30 16:00,38,Good,10.0,10.0,12.5,38.2,0.28,26.0,0.9,0.2
19,Guanyin,2024-05-30 16:00,41,Good,9.0,9.0,3.3,40.5,0.15,14.0,0.8,0.4
18,Dayuan,2024-05-30 16:00,36,Good,9.0,9.0,8.6,41.6,0.22,21.0,2.5,1.6
17,Taoyuan,2024-05-30 16:00,43,Good,9.0,9.0,14.8,38.3,0.32,11.0,2.4,5.0
16,Datong,2024-05-30 16:00,40,Good,8.0,8.0,24.2,27.8,0.79,21.0,12.8,1.7
15,Songshan,2024-05-30 16:00,31,Good,10.0,10.0,15.5,36.2,0.25,19.0,2.9,2.0
14,Guting,2024-05-30 16:00,34,Good,10.0,10.0,15.6,53.0,0.35,18.0,2.1,
13,Wanhua,2024-05-30 16:00,35,Good,13.0,13.0,21.7,46.1,0.44,23.0,2.2,1.0
12,Zhongshan,2024-05-30 16:00,31,Good,7.0,7.0,11.0,38.5,0.25,14.0,1.9,1.5
11,Shilin,2024-05-30 16:00,34,Good,7.0,7.0,11.1,37.6,0.22,19.0,1.8,0.9
10,Tamsui,2024-05-30 16:00,38,Good,9.0,9.0,23.5,26.3,0.28,20.0,9.3,1.4
9,Linkou,2024-05-30 16:00,36,Good,5.0,5.0,4.9,41.9,0.16,9.0,1.4,1.5
8,Cailiao,2024-05-30 16:00,36,Good,6.0,6.0,8.9,42.5,0.24,15.0,0.9,1.2
7,Xinzhuang,2024-05-30 16:00,40,Good,11.0,11.0,9.2,39.6,0.22,14.0,1.3,0.6
6,Banqiao,2024-05-30 16:00,38,Good,11.0,11.0,18.6,43.7,0.37,26.0,2.6,1.4
5,Tucheng,2024-05-30 16:00,48,Good,13.0,13.0,18.2,58.9,0.4,30.0,1.8,0.8
4,Xindian,2024-05-30 16:00,42,Good,10.0,10.0,13.1,50.1,0.35,21.0,2.4,0.8
3,Wanli,2024-05-30 16:00,46,Good,8.0,8.0,8.1,37.2,0.22,47.0,2.4,0.9
2,Xizhi,2024-05-30 16:00,36,Good,15.0,15.0,14.4,39.5,0.21,21.0,2.2,2.8
1,Keelung,2024-05-30 16:00,29,Good,3.0,3.0,17.2,26.7,0.22,17.0,4.0,3.0
313,Pingtung（fangshan）,2024-05-30 15:00,33,Good,3.0,3.0,1.9,36.4,0.1,15.0,0.3,0.0
312,Taichung（Rilana Elementary）,2024-05-30 15:00,46,Good,8.0,8.0,3.1,50.1,0.08,27.0,0.7,0.6
311,New Taipei(Shulin),2024-05-30 15:00,40,Good,14.0,14.0,13.1,35.7,0.32,22.0,0.6,1.6
204,Pingtung（Liuqiu）,2024-05-30 15:00,27,Good,7.0,7.0,1.3,31.6,0.07,12.0,1.4,0.7
203,Tainan（Madou）,2024-05-30 15:00,33,Good,5.0,5.0,5.8,28.0,0.14,11.0,2.6,
202,Kaohsiung（Hunei）,2024-05-30 15:00,25,Good,3.0,3.0,3.4,25.1,0.15,7.0,2.7,0.3
201,Changhua（Yuanlin）,2024-05-30 15:00,59,Moderate,21.0,21.0,8.1,63.6,0.31,43.0,0.9,2.9
85,Dacheng,2024-05-30 15:00,50,Good,12.0,12.0,2.6,60.1,0.12,40.0,0.4,0.9
84,FugueiCape,2024-05-30 15:00,44,Good,11.0,11.0,2.2,47.8,0.14,30.0,0.7,0.4
83,Mailiao,2024-05-30 15:00,50,Good,7.0,7.0,2.4,58.7,0.14,20.0,0.2,1.6
80,Guanshan,2024-05-30 15:00,27,Good,6.0,6.0,1.9,28.6,0.13,14.0,0.4,0.3
78,Magong,2024-05-30 15:00,45,Good,5.0,5.0,6.2,31.7,0.15,6.0,3.1,1.3
77,Kinmen,2024-05-30 15:00,60,Moderate,21.0,21.0,11.9,53.3,0.27,31.0,1.2,1.9
75,Matsu,2024-05-30 15:00,43,Good,15.0,15.0,6.2,51.4,0.22,27.0,9.0,1.1
72,Puli,2024-05-30 15:00,42,Good,20.0,20.0,2.7,56.8,0.22,26.0,1.7,1.2
71,Fuxing,2024-05-30 15:00,22,Good,2.0,2.0,9.7,26.0,0.18,9.0,3.9,1.1
70,Yonghe,2024-05-30 15:00,45,Good,,,27.2,29.6,0.79,20.0,7.0,
69,Zhushan,2024-05-30 15:00,67,Moderate,20.0,20.0,5.9,56.8,0.18,32.0,0.5,1.3
68,Zhongli,2024-05-30 15:00,40,Good,,,,23.9,0.46,30.0,,
