siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2
71,Fuxing,2024-05-31 08:00,25,Good,8.5,15.8,6,9.4,3.2
70,Yonghe,2024-05-31 08:00,32,Good,8.6,10.7,8,17.7,1
69,Zhushan,2024-05-31 08:00,32,Good,8.3,3.2,5,3.1,0.7
68,Zhongli,2024-05-31 08:00,51,Moderate,10,23.3,11,34.8,1.6
67,Sanchong,2024-05-31 08:00,35,Good,9.1,21.7,11,36.8,0.8
66,Dongshan,2024-05-31 08:00,25,Good,15.2,5.1,6,4,0.5
65,Yilan,2024-05-31 08:00,17,Good,17.2,2.9,5,1.6,1.5
64,Yangming,2024-05-31 08:00,26,Good,28.4,1.5,4,1,0.7
63,Hualien,2024-05-31 08:00,19,Good,12.1,4.7,8,4.6,0.3
62,Taitung,2024-05-31 08:00,23,Good,11.2,2.9,2,3.2,0.3
61,Hengchun,2024-05-31 08:00,24,Good,25.6,0.4,6,0.5,0.1
60,Chaozhou,2024-05-31 08:00,21,Good,17.3,1.5,2,2.3,0.5
59,Pingtung,2024-05-31 08:00,21,Good,9.6,7.8,5,4.4,0.8
58,Xiaogang,2024-05-31 08:00,49,Good,15.9,14.3,12,6.7,6
57,Qianzhen,2024-05-31 08:00,27,Good,9.3,16.8,5,9.7,3.3
56,Qianjin,2024-05-31 08:00,17,Good,14.5,10.6,8,3.4,3.2
54,Zuoying,2024-05-31 08:00,25,Good,11.3,12,10,5.1,2.2
53,Nanzi,2024-05-31 08:00,28,Good,5.2,17.3,8,16.3,0.9
52,Linyuan,2024-05-31 08:00,27,Good,20.6,5.8,4,1.9,1.1
51,Daliao,2024-05-31 08:00,16,Good,13.1,5.1,5,2.7,0.5
50,Fengshan,2024-05-31 08:00,15,Good,10.3,8.8,5,3.8,1.8
49,Renwu,2024-05-31 08:00,19,Good,14.6,8.6,2,3.4,1.6
48,Qiaotou,2024-05-31 08:00,15,Good,8.7,9.1,4,5.1,0.3
47,Meinong,2024-05-31 08:00,18,Good,12.4,2.5,4,1.5,0.1
46,Tainan,2024-05-31 08:00,18,Good,16.1,7.9,3,4,0.4
45,Annan,2024-05-31 08:00,19,Good,18.3,8.4,4,4.2,0.1
44,Shanhua,2024-05-31 08:00,18,Good,16.2,3.5,2,1.7,0.3
43,Xinying,2024-05-31 08:00,19,Good,19.7,4.2,1,2.2,0.8
42,Chiayi,2024-05-31 08:00,19,Good,20.8,6,3,2.5,1.2
41,Taixi,2024-05-31 08:00,19,Good,23.6,3.5,1,1.2,1.2
40,Puzi,2024-05-31 08:00,16,Good,18.8,6.6,,4.2,1.1
39,Xingang,2024-05-31 08:00,19,Good,20.8,5.4,5,2.6,1.8
38,Lunbei,2024-05-31 08:00,16,Good,19.5,3.7,4,1.1,0.4
37,Douliu,2024-05-31 08:00,23,Good,12.4,9.3,8,5.5,5.2
36,Nantou,2024-05-31 08:00,30,Good,12.2,3.9,3,2.5,0.3
35,Erlin,2024-05-31 08:00,36,Good,15.7,5.2,10,2.8,1.5
34,Xianxi,2024-05-31 08:00,25,Good,21,4.6,7,4.2,0.5
33,Changhua,2024-05-31 08:00,16,Good,20,3.4,3,1.7,0.3
32,Xitun,2024-05-31 08:00,26,Good,12.6,10.8,8,8.2,0.9
31,Zhongming,2024-05-31 08:00,21,Good,16.2,9.9,7,5.6,1.4
30,Dali,2024-05-31 08:00,22,Good,10.6,8.2,8,6.5,1.2
29,Shalu,2024-05-31 08:00,19,Good,22.1,6.3,4,3.5,0.7
28,Fengyuan,2024-05-31 08:00,17,Good,24.2,3.4,0,3.5,1.1
27,Sanyi,2024-05-31 08:00,18,Good,23.9,0.4,3,1.3,0.7
26,Miaoli,2024-05-31 08:00,33,Good,20.8,4.6,6,2.2,0.8
25,Toufen,2024-05-31 08:00,31,Good,14.3,7.5,8,6,1.4
24,Hsinchu,2024-05-31 08:00,35,Good,15.7,8.2,9,5.2,0.5
23,Zhudong,2024-05-31 08:00,42,Good,11.1,4.4,14,3,3.6
22,Hukou,2024-05-31 08:00,50,Good,16.2,7.5,14,5.7,0.7
21,Longtan,2024-05-31 08:00,41,Good,19.8,8.8,8,4.2,0.2
20,Pingzhen,2024-05-31 08:00,46,Good,23.9,9.8,11,4.4,0.7
19,Guanyin,2024-05-31 08:00,45,Good,20.7,7.8,16,3.9,0.6
18,Dayuan,2024-05-31 08:00,45,Good,21.9,9.8,9,2.9,1.2
17,Taoyuan,2024-05-31 08:00,56,Moderate,16.6,18.5,16,7.9,2.6
16,Datong,2024-05-31 08:00,39,Good,3.2,21.8,15,84.1,1.3
15,Songshan,2024-05-31 08:00,44,Good,17.6,16.6,14,12.7,
14,Guting,2024-05-31 08:00,30,Good,11.6,10.3,9,7.8,2.6
13,Wanhua,2024-05-31 08:00,34,Good,12.9,10.1,12,6.5,0.2
12,Zhongshan,2024-05-31 08:00,28,Good,12.8,14,9,11.3,0.3
11,Shilin,2024-05-31 08:00,41,Good,16.7,12.6,10,6.3,0.9
10,Tamsui,2024-05-31 08:00,41,Good,19.4,16.5,16,7.6,1.4
9,Linkou,2024-05-31 08:00,41,Good,20.9,15.6,7,7.9,0.6
8,Cailiao,2024-05-31 08:00,31,Good,15,12.6,6,7.5,0.7
7,Xinzhuang,2024-05-31 08:00,63,Moderate,26.7,17.3,20,4.8,0.9
6,Banqiao,2024-05-31 08:00,48,Good,15.5,26.4,21,11.5,1
5,Tucheng,2024-05-31 08:00,62,Moderate,14.8,22,24,12.6,0.8
4,Xindian,2024-05-31 08:00,37,Good,17.7,6.4,13,5,1.2
3,Wanli,2024-05-31 08:00,23,Good,18,8.4,7,5.3,1.2
2,Xizhi,2024-05-31 08:00,44,Good,14.1,18.9,14,14.5,0.8
1,Keelung,2024-05-31 08:00,30,Good,23.6,10.4,11,3.8,1
313,Pingtung（fangshan）,2024-05-31 07:00,20,Good,15.2,2.8,1,1.4,0.3
312,Taichung（Rilana Elementary）,2024-05-31 07:00,18,Good,8.8,8.8,2,3.3,0.3
311,New Taipei(Shulin),2024-05-31 07:00,55,Moderate,3.9,11.9,16,11.1,0.7
204,Pingtung（Liuqiu）,2024-05-31 07:00,20,Good,17.8,2.3,6,1.1,0.4
203,Tainan（Madou）,2024-05-31 07:00,16,Good,11,9.3,5,2.4,0.5
202,Kaohsiung（Hunei）,2024-05-31 07:00,15,Good,10.4,9.1,2,2.7,1.5
201,Changhua（Yuanlin）,2024-05-31 07:00,32,Good,14,7.2,3,3.9,1.7
85,Dacheng,2024-05-31 07:00,16,Good,18.5,3.5,0,0.4,1.4
84,FugueiCape,2024-05-31 07:00,36,Good,17.1,4.8,14,1.9,0.4
83,Mailiao,2024-05-31 07:00,18,Good,17.5,6.4,2,2.5,1
80,Guanshan,2024-05-31 07:00,25,Good,4.4,2,4,3,0.4
78,Magong,2024-05-31 07:00,23,Good,21.9,5.9,3,1.4,0.7
77,Kinmen,2024-05-31 07:00,84,Moderate,3.9,26,28,9.7,2.6
75,Matsu,2024-05-31 07:00,53,Moderate,36.3,4.2,14,1.1,0.7
72,Puli,2024-05-31 07:00,25,Good,7.3,2.3,8,3,1
71,Fuxing,2024-05-31 07:00,20,Good,8.6,11.5,3,3.3,8.4
70,Yonghe,2024-05-31 07:00,37,Good,7,4.9,6,6.3,0.8
69,Zhushan,2024-05-31 07:00,31,Good,4.5,3.8,9,3,0.8
68,Zhongli,2024-05-31 07:00,55,Moderate,2.6,19.8,15,63.3,1.7
67,Sanchong,2024-05-31 07:00,34,Good,4.6,13.8,10,35,0.6
66,Dongshan,2024-05-31 07:00,26,Good,8.3,3.9,8,2.7,0.2
65,Yilan,2024-05-31 07:00,17,Good,12,2.7,8,1.1,1.7
64,Yangming,2024-05-31 07:00,27,Good,24.6,1.4,4,1,0.6
63,Hualien,2024-05-31 07:00,17,Good,6.5,2.3,4,2.5,0.4
62,Taitung,2024-05-31 07:00,22,Good,6.5,2.5,4,2.4,0.5
61,Hengchun,2024-05-31 07:00,24,Good,23.7,0.7,3,0.4,0.1
60,Chaozhou,2024-05-31 07:00,21,Good,13.7,1.6,1,1.9,0.5
59,Pingtung,2024-05-31 07:00,18,Good,8.6,6.7,7,2.1,0.6
58,Xiaogang,2024-05-31 07:00,46,Good,5.1,19,44,11,3.7
57,Qianzhen,2024-05-31 07:00,20,Good,9.8,12.5,2,3.6,7.5
56,Qianjin,2024-05-31 07:00,16,Good,11.9,9.7,6,1.7,4.7
54,Zuoying,2024-05-31 07:00,22,Good,12.5,7.9,11,1.6,1.1
53,Nanzi,2024-05-31 07:00,28,Good,5.4,17.3,4,9.2,0.6
52,Linyuan,2024-05-31 07:00,22,Good,12.6,3.2,1,0.2,1
51,Daliao,2024-05-31 07:00,16,Good,4.9,6.8,4,3.5,0.3
50,Fengshan,2024-05-31 07:00,17,Good,9.9,6.4,1,1.1,0.9
49,Renwu,2024-05-31 07:00,19,Good,15.1,5.9,1,0.7,1.7
48,Qiaotou,2024-05-31 07:00,14,Good,10.2,7.4,6,2.2,0.1
47,Meinong,2024-05-31 07:00,16,Good,11.2,2.6,2,1.3,0.1
46,Tainan,2024-05-31 07:00,20,Good,16.7,6.8,1,2,0.5
45,Annan,2024-05-31 07:00,21,Good,16.2,7.6,6,1.9,0.1
44,Shanhua,2024-05-31 07:00,18,Good,19.2,2.7,3,0.8,0.3
43,Xinying,2024-05-31 07:00,19,Good,19.7,3,0,1,0.7
42,Chiayi,2024-05-31 07:00,19,Good,19.7,4.6,2,1.2,1.1
41,Taixi,2024-05-31 07:00,18,Good,19.4,3.9,0,1.1,1
40,Puzi,2024-05-31 07:00,17,Good,13.4,10.2,,6.7,1.2
39,Xingang,2024-05-31 07:00,19,Good,16.7,6.1,4,1.5,1.9
38,Lunbei,2024-05-31 07:00,17,Good,15.1,4.4,1,0.4,0.5
37,Douliu,2024-05-31 07:00,23,Good,10.1,4.3,4,1.9,1.9
36,Nantou,2024-05-31 07:00,31,Good,7.5,3.9,4,1.7,0.2
35,Erlin,2024-05-31 07:00,37,Good,10.8,6.3,11,2.7,1.5
34,Xianxi,2024-05-31 07:00,26,Good,8.5,6.8,6,5.4,0.3
33,Changhua,2024-05-31 07:00,16,Good,15,4.1,2,1.5,0.6
32,Xitun,2024-05-31 07:00,25,Good,6.3,8.1,8,4.7,0.8
31,Zhongming,2024-05-31 07:00,22,Good,6.8,8,8,4.1,1.3
30,Dali,2024-05-31 07:00,20,Good,8.5,5,4,2.5,0.9
29,Shalu,2024-05-31 07:00,20,Good,17.2,6.2,4,2.5,0.7
28,Fengyuan,2024-05-31 07:00,16,Good,20.8,5.3,1,2.7,0.8
27,Sanyi,2024-05-31 07:00,18,Good,21.5,0.6,1,1.4,0.6
26,Miaoli,2024-05-31 07:00,35,Good,9.1,7.7,9,3.7,0.9
25,Toufen,2024-05-31 07:00,32,Good,6.8,5,8,4.9,0.7
24,Hsinchu,2024-05-31 07:00,34,Good,7,13.2,14,8.1,0.1
23,Zhudong,2024-05-31 07:00,43,Good,7.3,3.9,11,2.6,1.9
22,Hukou,2024-05-31 07:00,50,Good,10.7,12.5,17,7.4,0.4
21,Longtan,2024-05-31 07:00,46,Good,8.8,12.7,10,8.7,0.4
20,Pingzhen,2024-05-31 07:00,51,Moderate,9.7,13.8,13,5.5,1
19,Guanyin,2024-05-31 07:00,44,Good,14.2,9.3,19,3.4,0.5
18,Dayuan,2024-05-31 07:00,48,Good,10.8,15.9,14,5.4,1.2
17,Taoyuan,2024-05-31 07:00,57,Moderate,7.9,18,19,7.4,2
16,Datong,2024-05-31 07:00,37,Good,3.5,14,11,34.9,1.2
15,Songshan,2024-05-31 07:00,41,Good,9,11.1,14,5.8,
14,Guting,2024-05-31 07:00,29,Good,5.9,7.9,13,5.9,2
13,Wanhua,2024-05-31 07:00,32,Good,7.6,8.1,14,4.9,0.1
12,Zhongshan,2024-05-31 07:00,27,Good,5.8,11.7,9,18.7,0.3
11,Shilin,2024-05-31 07:00,44,Good,5.7,13.1,17,8,0.6
10,Tamsui,2024-05-31 07:00,40,Good,8.2,12.8,12,5.8,1.4
9,Linkou,2024-05-31 07:00,43,Good,8.7,21.1,17,21.9,1
8,Cailiao,2024-05-31 07:00,31,Good,7.4,9.4,9,5.1,0.7
